"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000008565.1","GCA_001638825.1","GCA_008329785.1","GCA_011604805.1","GCA_011604825.1","GCA_020546685.1","GCA_021378295.1","GCA_024138735.1"
"A2G07_10680","","transporter substrate-binding domain-containing protein","8","8","1","1","2104","1","1375","","785","785","785","DR_0564.p01","A2G07_10680.p01","a6679ee1dd99a76d4f263da36fcf6004_9723","689a1f7569cd370648666ad3906989ad_4436","e7eb4eb1fba968f75f75040ad2de8570_8399","5974397fafb4265a64d121638449c96c_2298","DRO_0562.p01","5b1dec001b64d68f08bc514628990a75_7370"
"DR_0623","","pyridoxal phosphate-dependent aminotransferase","8","8","1","1","2163","1","1434","","1166","1166","1166","DR_0623.p01","A2G07_10370.p01","a6679ee1dd99a76d4f263da36fcf6004_9968","689a1f7569cd370648666ad3906989ad_4669","e7eb4eb1fba968f75f75040ad2de8570_8163","5974397fafb4265a64d121638449c96c_2547","DRO_0622.p01","5b1dec001b64d68f08bc514628990a75_7615"
"E5E91_09970","","serine protease","8","8","1","1","764","1","764","","1202","1202","1202","DR_1937.p01","A2G07_03950.p01","a6679ee1dd99a76d4f263da36fcf6004_4545","689a1f7569cd370648666ad3906989ad_9752","e7eb4eb1fba968f75f75040ad2de8570_3218","5974397fafb4265a64d121638449c96c_7780","DRO_1911.p01","5b1dec001b64d68f08bc514628990a75_2253"
"DR_0972","","hypothetical protein","8","8","1","1","2496","1","1767","","695","695","695","DR_0972.p01","A2G07_08645.p01","a6679ee1dd99a76d4f263da36fcf6004_732","689a1f7569cd370648666ad3906989ad_6033","e7eb4eb1fba968f75f75040ad2de8570_6832","5974397fafb4265a64d121638449c96c_3954","DRO_0966.p01","5b1dec001b64d68f08bc514628990a75_9077"
"yidD","","membrane protein insertion efficiency factor YidD","8","8","1","1","2131","1","1402","","305","305","305","DR_0590.p01","A2G07_10535.p01","a6679ee1dd99a76d4f263da36fcf6004_9834","689a1f7569cd370648666ad3906989ad_4546","e7eb4eb1fba968f75f75040ad2de8570_8288","5974397fafb4265a64d121638449c96c_2412","DRO_0590.p01","5b1dec001b64d68f08bc514628990a75_7476"
"A2G07_06730","","peptidase","8","8","1","1","1312","1","2143","","824","938","881","DR_1361.p01","A2G07_06730.p01","a6679ee1dd99a76d4f263da36fcf6004_2284","689a1f7569cd370648666ad3906989ad_7533","e7eb4eb1fba968f75f75040ad2de8570_5368","5974397fafb4265a64d121638449c96c_5506","DRO_1350.p01","5b1dec001b64d68f08bc514628990a75_15"
"rapZ","","RNase adapter RapZ","8","8","1","1","1243","1","2212","","851","851","851","DR_1434.p01","A2G07_06385.p01","a6679ee1dd99a76d4f263da36fcf6004_2564","689a1f7569cd370648666ad3906989ad_7798","e7eb4eb1fba968f75f75040ad2de8570_5107","5974397fafb4265a64d121638449c96c_5787","DRO_1419.p01","5b1dec001b64d68f08bc514628990a75_293"
"DRO_A0246","","ABC transporter substrate-binding protein","8","8","1","2","227","2","304","","1589","1589","1589","DR_A0246.p01","A2G07_14695.p01","a6679ee1dd99a76d4f263da36fcf6004_11389","689a1f7569cd370648666ad3906989ad_10462","e7eb4eb1fba968f75f75040ad2de8570_11011","5974397fafb4265a64d121638449c96c_11622","DRO_A0246.p01","5b1dec001b64d68f08bc514628990a75_11364"
"MSS93_03115","","hypothetical protein","8","8","1","1","765","1","765","","206","206","206","DR_1936.p01","A2G07_03955.p01","a6679ee1dd99a76d4f263da36fcf6004_4541","689a1f7569cd370648666ad3906989ad_9744","e7eb4eb1fba968f75f75040ad2de8570_3226","5974397fafb4265a64d121638449c96c_7776","DRO_1909.p01","5b1dec001b64d68f08bc514628990a75_2245"
"sufB","","Fe-S cluster assembly protein SufB","8","8","1","1","594","1","594","","1406","1406","1406","DR_2106.p01","A2G07_03080.p01","a6679ee1dd99a76d4f263da36fcf6004_5250","689a1f7569cd370648666ad3906989ad_131","e7eb4eb1fba968f75f75040ad2de8570_2548","5974397fafb4265a64d121638449c96c_8487","DRO_2078.p01","5b1dec001b64d68f08bc514628990a75_2933"
"DXG80_13895","","hypothetical protein","8","8","1","2","151","2","151","","500","500","500","DR_A0087.p01","A2G07_13925.p01","a6679ee1dd99a76d4f263da36fcf6004_10768","689a1f7569cd370648666ad3906989ad_11090","e7eb4eb1fba968f75f75040ad2de8570_10379","5974397fafb4265a64d121638449c96c_10997","DRO_A0086.p01","5b1dec001b64d68f08bc514628990a75_12050"
"DXG80_13425","","bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE","8","8","1","1","2266","1","1537","","656","656","656","DR_0733.p01","A2G07_09835.p01","a6679ee1dd99a76d4f263da36fcf6004_10412","689a1f7569cd370648666ad3906989ad_5095","e7eb4eb1fba968f75f75040ad2de8570_7741","5974397fafb4265a64d121638449c96c_2996","DRO_0730.p01","5b1dec001b64d68f08bc514628990a75_8102"
"DR_1729","","hypothetical protein","8","8","1","1","964","1","2491","","698","698","698","DR_1729.p01","A2G07_04950.p01","a6679ee1dd99a76d4f263da36fcf6004_3723","689a1f7569cd370648666ad3906989ad_8943","e7eb4eb1fba968f75f75040ad2de8570_4004","5974397fafb4265a64d121638449c96c_6951","DRO_1708.p01","5b1dec001b64d68f08bc514628990a75_1439"
"proS","","proline--tRNA ligase","8","8","1","1","1404","1","2051","","1499","1499","1499","DR_1266.p01","A2G07_07195.p01","a6679ee1dd99a76d4f263da36fcf6004_1921","689a1f7569cd370648666ad3906989ad_7173","e7eb4eb1fba968f75f75040ad2de8570_5717","5974397fafb4265a64d121638449c96c_5142","DRO_1258.p01","5b1dec001b64d68f08bc514628990a75_10239"
"rplO","","50S ribosomal protein L15","8","8","1","1","584","1","584","","470","470","470","DR_2115.p01","A2G07_03030.p01","a6679ee1dd99a76d4f263da36fcf6004_5289","689a1f7569cd370648666ad3906989ad_170","e7eb4eb1fba968f75f75040ad2de8570_2510","5974397fafb4265a64d121638449c96c_8526","DRO_2087.p01","5b1dec001b64d68f08bc514628990a75_2972"
"DXG80_11430","","hypothetical protein","8","8","1","1","1896","1","1167","","308","308","308","DR_0355.p01","A2G07_11760.p01","a6679ee1dd99a76d4f263da36fcf6004_8857","689a1f7569cd370648666ad3906989ad_3614","e7eb4eb1fba968f75f75040ad2de8570_9209","5974397fafb4265a64d121638449c96c_1438","DRO_0354.p01","5b1dec001b64d68f08bc514628990a75_6471"
"DRO_1390","","alpha/beta hydrolase","8","8","1","1","1272","1","2183","","581","833","792","DR_1403.p01","A2G07_06530.p01","a6679ee1dd99a76d4f263da36fcf6004_2446","689a1f7569cd370648666ad3906989ad_7688","e7eb4eb1fba968f75f75040ad2de8570_5217","5974397fafb4265a64d121638449c96c_5669","DRO_1390.p01","5b1dec001b64d68f08bc514628990a75_169"
"MSS93_05485","","Crp/Fnr family transcriptional regulator","8","8","1","1","336","1","336","","695","695","695","DR_2362.p01","A2G07_01765.p01","a6679ee1dd99a76d4f263da36fcf6004_6304","689a1f7569cd370648666ad3906989ad_1154","e7eb4eb1fba968f75f75040ad2de8570_1533","5974397fafb4265a64d121638449c96c_9537","DRO_2333.p01","5b1dec001b64d68f08bc514628990a75_3986"
"DR_1182","","N-acetyltransferase","8","8","1","1","1485","1","1970","","524","524","524","DR_1182.p01","A2G07_07605.p01","a6679ee1dd99a76d4f263da36fcf6004_1585","689a1f7569cd370648666ad3906989ad_6862","e7eb4eb1fba968f75f75040ad2de8570_6033","5974397fafb4265a64d121638449c96c_4808","DRO_1180.p01","5b1dec001b64d68f08bc514628990a75_9914"
"A2G07_08525","","roadblock/LC7 domain-containing protein","8","8","1","1","2520","1","1791","","338","338","338","DR_0994.p01","A2G07_08525.p01","a6679ee1dd99a76d4f263da36fcf6004_828","689a1f7569cd370648666ad3906989ad_6125","e7eb4eb1fba968f75f75040ad2de8570_6746","5974397fafb4265a64d121638449c96c_4052","DRO_0991.p01","5b1dec001b64d68f08bc514628990a75_9169"
"MSS93_15665","","xanthine dehydrogenase family protein subunit M","8","8","1","2","236","2","295","","1016","1016","1016","DR_A0236.p01","A2G07_14650.p01","a6679ee1dd99a76d4f263da36fcf6004_11353","689a1f7569cd370648666ad3906989ad_10496","e7eb4eb1fba968f75f75040ad2de8570_10975","5974397fafb4265a64d121638449c96c_11586","DRO_A0237.p01","5b1dec001b64d68f08bc514628990a75_11398"
"HAV23_08820","","hypothetical protein","8","8","1","1","1491","1","1964","","248","248","248","DR_1176.p01","A2G07_07635.p01","a6679ee1dd99a76d4f263da36fcf6004_1561","689a1f7569cd370648666ad3906989ad_6838","e7eb4eb1fba968f75f75040ad2de8570_6055","5974397fafb4265a64d121638449c96c_4784","DRO_1174.p01","5b1dec001b64d68f08bc514628990a75_9886"
"DXG80_10805","","aminopeptidase","8","8","1","1","1782","1","1053","","1235","1235","1235","DR_0236.p01","A2G07_12365.p01","a6679ee1dd99a76d4f263da36fcf6004_8367","689a1f7569cd370648666ad3906989ad_3153","e7eb4eb1fba968f75f75040ad2de8570_9661","5974397fafb4265a64d121638449c96c_950","DRO_0235.p01","5b1dec001b64d68f08bc514628990a75_6002"
"A2G07_02350","","response regulator transcription factor","8","8","1","1","450","1","450","","716","716","716","DR_2245.p01","A2G07_02350.p01","a6679ee1dd99a76d4f263da36fcf6004_5835","689a1f7569cd370648666ad3906989ad_703","e7eb4eb1fba968f75f75040ad2de8570_1980","5974397fafb4265a64d121638449c96c_9061","DRO_2219.p01","5b1dec001b64d68f08bc514628990a75_3480"
"DXG80_12230","","sensory box protein","8","8","1","1","2050","1","1321","","581","581","581","DR_0510.p01","A2G07_10965.p01","a6679ee1dd99a76d4f263da36fcf6004_9484","689a1f7569cd370648666ad3906989ad_4217","e7eb4eb1fba968f75f75040ad2de8570_8624","5974397fafb4265a64d121638449c96c_2068","DRO_0508.p01","5b1dec001b64d68f08bc514628990a75_7107"
"DR_1077","","polysaccharide deacetylase family protein","8","8","1","1","1589","1","1866","","1205","1205","1205","DR_1077.p01","A2G07_08135.p01","a6679ee1dd99a76d4f263da36fcf6004_1154","689a1f7569cd370648666ad3906989ad_6440","e7eb4eb1fba968f75f75040ad2de8570_6440","5974397fafb4265a64d121638449c96c_4376","DRO_1072.p01","5b1dec001b64d68f08bc514628990a75_9487"
"A2G07_07475","","arginase","8","8","1","1","1459","1","1996","","677","677","677","DR_1210.p01","A2G07_07475.p01","a6679ee1dd99a76d4f263da36fcf6004_1697","689a1f7569cd370648666ad3906989ad_6962","e7eb4eb1fba968f75f75040ad2de8570_5932","5974397fafb4265a64d121638449c96c_4917","DRO_1206.p01","5b1dec001b64d68f08bc514628990a75_10010"
"A2G07_14615","","glyoxalase/bleomycin resistance/dioxygenase family protein","8","8","1","2","243","2","288","","353","353","353","DR_A0228.p01","A2G07_14615.p01","a6679ee1dd99a76d4f263da36fcf6004_11322","689a1f7569cd370648666ad3906989ad_10528","e7eb4eb1fba968f75f75040ad2de8570_10943","5974397fafb4265a64d121638449c96c_11555","DRO_A0229.p01","5b1dec001b64d68f08bc514628990a75_11426"
"A2G07_09500","","lycopene cyclase family protein","8","8","1","1","2332","1","1603","","1232","1232","1232","DR_0801.p01","A2G07_09500.p01","a6679ee1dd99a76d4f263da36fcf6004_49","689a1f7569cd370648666ad3906989ad_5353","e7eb4eb1fba968f75f75040ad2de8570_7488","5974397fafb4265a64d121638449c96c_3266","DRO_0797.p01","5b1dec001b64d68f08bc514628990a75_8382"
"A2G07_06830","","nuclear transport factor 2 family protein","8","8","1","1","1332","1","2123","","362","362","362","DR_1340.p01","A2G07_06830.p01","a6679ee1dd99a76d4f263da36fcf6004_2203","689a1f7569cd370648666ad3906989ad_7452","e7eb4eb1fba968f75f75040ad2de8570_5448","5974397fafb4265a64d121638449c96c_5425","DRO_1329.p01","5b1dec001b64d68f08bc514628990a75_10522"
"DR_0131","","hypothetical protein","8","8","1","1","1686","1","957","","1652","1652","1652","DR_0131.p01","A2G07_12860.p01","a6679ee1dd99a76d4f263da36fcf6004_7947","689a1f7569cd370648666ad3906989ad_2755","e7eb4eb1fba968f75f75040ad2de8570_10050","5974397fafb4265a64d121638449c96c_530","DRO_0130.p01","5b1dec001b64d68f08bc514628990a75_5604"
"groL","","chaperonin GroEL","8","8","1","1","2148","1","1419","","1646","1646","1646","DR_0607.p01","A2G07_10450.p01","a6679ee1dd99a76d4f263da36fcf6004_9909","689a1f7569cd370648666ad3906989ad_4611","e7eb4eb1fba968f75f75040ad2de8570_8221","5974397fafb4265a64d121638449c96c_2487","DRO_0607.p01","5b1dec001b64d68f08bc514628990a75_7545"
"E5E91_11520","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","8","8","1","1","469","1","469","","1232","1232","1232","DR_2227.p01","A2G07_02445.p01","a6679ee1dd99a76d4f263da36fcf6004_5762","689a1f7569cd370648666ad3906989ad_628","e7eb4eb1fba968f75f75040ad2de8570_2053","5974397fafb4265a64d121638449c96c_8988","DRO_2201.p01","5b1dec001b64d68f08bc514628990a75_3409"
"HAV23_00980","","hypothetical protein","8","8","1","1","436","1","436","","452","452","452","DR_2258.p01","A2G07_02275.p01","a6679ee1dd99a76d4f263da36fcf6004_5892","689a1f7569cd370648666ad3906989ad_760","e7eb4eb1fba968f75f75040ad2de8570_1925","5974397fafb4265a64d121638449c96c_9118","DRO_2232.p01","5b1dec001b64d68f08bc514628990a75_3549"
"A2G07_13995","","hypothetical protein","8","8","1","2","165","2","165","","320","320","320","DR_A0102.p01","A2G07_13995.p01","a6679ee1dd99a76d4f263da36fcf6004_10829","689a1f7569cd370648666ad3906989ad_11026","e7eb4eb1fba968f75f75040ad2de8570_10446","5974397fafb4265a64d121638449c96c_11059","DRO_A0101.p01","5b1dec001b64d68f08bc514628990a75_11990"
"DRO_0664","","hypothetical protein","8","8","1","1","2204","1","1475","","860","860","860","DR_0669.p01","A2G07_10155.p01","a6679ee1dd99a76d4f263da36fcf6004_10149","689a1f7569cd370648666ad3906989ad_4847","e7eb4eb1fba968f75f75040ad2de8570_7988","5974397fafb4265a64d121638449c96c_2733","DRO_0664.p01","5b1dec001b64d68f08bc514628990a75_7801"
"hpaE","","5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase","8","8","1","2","251","2","280","","1574","1574","1574","DR_A0220.p01","A2G07_14575.p01","a6679ee1dd99a76d4f263da36fcf6004_11290","689a1f7569cd370648666ad3906989ad_10560","e7eb4eb1fba968f75f75040ad2de8570_10911","5974397fafb4265a64d121638449c96c_11524","DRO_A0221.p01","5b1dec001b64d68f08bc514628990a75_11456"
"DXG80_03910","","CAP domain-containing protein","8","8","1","1","1138","1","2317","","608","608","608","DR_1548.p01","A2G07_05840.p01","a6679ee1dd99a76d4f263da36fcf6004_3018","689a1f7569cd370648666ad3906989ad_8230","e7eb4eb1fba968f75f75040ad2de8570_4689","5974397fafb4265a64d121638449c96c_6237","DRO_1528.p01","5b1dec001b64d68f08bc514628990a75_718"
"DR_A0190","","hypothetical protein","8","8","1","2","281","2","250","","1571","1571","1571","DR_A0190.p01","A2G07_14425.p01","a6679ee1dd99a76d4f263da36fcf6004_11171","689a1f7569cd370648666ad3906989ad_10679","e7eb4eb1fba968f75f75040ad2de8570_10792","5974397fafb4265a64d121638449c96c_11405","DRO_A0191.p01","5b1dec001b64d68f08bc514628990a75_11575"
"DXG80_13985","","hypothetical protein","8","8","1","2","166","2","166","","335","335","335","DR_A0104.p01","A2G07_14000.p01","a6679ee1dd99a76d4f263da36fcf6004_10837","689a1f7569cd370648666ad3906989ad_11018","e7eb4eb1fba968f75f75040ad2de8570_10454","5974397fafb4265a64d121638449c96c_11067","DRO_A0103.p01","5b1dec001b64d68f08bc514628990a75_11982"
"DR_1955","","ABC transporter substrate-binding protein","8","8","1","1","746","1","746","","1562","1562","1562","DR_1955.p01","A2G07_03860.p01","a6679ee1dd99a76d4f263da36fcf6004_4619","689a1f7569cd370648666ad3906989ad_9824","e7eb4eb1fba968f75f75040ad2de8570_3148","5974397fafb4265a64d121638449c96c_7854","DRO_1929.p01","5b1dec001b64d68f08bc514628990a75_2327"
"HAV35_01675","","GNAT family N-acetyltransferase","8","8","1","1","271","1","271","","521","521","521","DR_2432.p01","A2G07_01425.p01","a6679ee1dd99a76d4f263da36fcf6004_6593","689a1f7569cd370648666ad3906989ad_1428","e7eb4eb1fba968f75f75040ad2de8570_1270","5974397fafb4265a64d121638449c96c_9816","DRO_2405.p01","5b1dec001b64d68f08bc514628990a75_4275"
"HAV35_11475","","type 1 glutamine amidotransferase domain-containing protein","8","8","1","1","2031","1","1302","","785","785","785","DR_0491.p01","A2G07_11070.p01","a6679ee1dd99a76d4f263da36fcf6004_9400","689a1f7569cd370648666ad3906989ad_4135","e7eb4eb1fba968f75f75040ad2de8570_8702","5974397fafb4265a64d121638449c96c_1984","DRO_0489.p01","5b1dec001b64d68f08bc514628990a75_7017"
"A2G07_00145","","hypothetical protein","8","8","1","1","27","1","27","","197","197","197","DR_0047.p01","A2G07_00145.p01","a6679ee1dd99a76d4f263da36fcf6004_7615","689a1f7569cd370648666ad3906989ad_2430","e7eb4eb1fba968f75f75040ad2de8570_291","5974397fafb4265a64d121638449c96c_196","DRO_0049.p01","5b1dec001b64d68f08bc514628990a75_5255"
"rpsG","","30S ribosomal protein S7","8","8","1","1","1848","1","1119","","470","470","470","DR_0306.p01","A2G07_12005.p01","a6679ee1dd99a76d4f263da36fcf6004_8659","689a1f7569cd370648666ad3906989ad_3427","e7eb4eb1fba968f75f75040ad2de8570_9391","5974397fafb4265a64d121638449c96c_1241","DRO_0303.p01","5b1dec001b64d68f08bc514628990a75_6268"
"HAV23_11610","","hypothetical protein","8","8","1","1","947","1","2508","","830","830","830","DR_1746.p01","A2G07_04865.p01","a6679ee1dd99a76d4f263da36fcf6004_3793","689a1f7569cd370648666ad3906989ad_9011","e7eb4eb1fba968f75f75040ad2de8570_3946","5974397fafb4265a64d121638449c96c_7020","DRO_1725.p01","5b1dec001b64d68f08bc514628990a75_1497"
"HAV35_03410","","diacylglycerol kinase","8","8","1","1","607","1","607","","383","383","383","DR_2093.p01","A2G07_03145.p01","a6679ee1dd99a76d4f263da36fcf6004_5198","689a1f7569cd370648666ad3906989ad_79","e7eb4eb1fba968f75f75040ad2de8570_2599","5974397fafb4265a64d121638449c96c_8435","DRO_2065.p01","5b1dec001b64d68f08bc514628990a75_2869"
"E5E91_09710","","hypothetical protein","8","8","1","1","814","1","814","","428","428","428","DR_1882.p01","A2G07_04200.p01","a6679ee1dd99a76d4f263da36fcf6004_4344","689a1f7569cd370648666ad3906989ad_9547","e7eb4eb1fba968f75f75040ad2de8570_3415","5974397fafb4265a64d121638449c96c_7580","DRO_1859.p01","5b1dec001b64d68f08bc514628990a75_2048"
"DRO_1473","","S41 family peptidase","8","8","1","1","1192","1","2263","","1337","1337","1337","DR_1491.p01","A2G07_06115.p01","a6679ee1dd99a76d4f263da36fcf6004_2791","689a1f7569cd370648666ad3906989ad_8012","e7eb4eb1fba968f75f75040ad2de8570_4903","5974397fafb4265a64d121638449c96c_6013","DRO_1473.p01","5b1dec001b64d68f08bc514628990a75_516"
"DR_1597","","glucose 6-phosphate dehydrogenase","8","8","1","1","1092","1","2363","","938","938","938","DR_1597.p01","A2G07_05600.p01","a6679ee1dd99a76d4f263da36fcf6004_3205","689a1f7569cd370648666ad3906989ad_8422","e7eb4eb1fba968f75f75040ad2de8570_4503","5974397fafb4265a64d121638449c96c_6428","DRO_1576.p01","5b1dec001b64d68f08bc514628990a75_916"
"A2G07_06890","","alpha/beta fold hydrolase","8","8","1","1","1344","1","2111","","878","878","878","DR_1326.p01","A2G07_06890.p01","a6679ee1dd99a76d4f263da36fcf6004_2157","689a1f7569cd370648666ad3906989ad_7408","e7eb4eb1fba968f75f75040ad2de8570_5490","5974397fafb4265a64d121638449c96c_5379","DRO_1317.p01","5b1dec001b64d68f08bc514628990a75_10472"
"DRO_2292","","hypothetical protein","8","8","1","1","376","1","376","","911","911","911","DR_2319.p01","A2G07_01965.p01","a6679ee1dd99a76d4f263da36fcf6004_6142","689a1f7569cd370648666ad3906989ad_991","e7eb4eb1fba968f75f75040ad2de8570_1694","5974397fafb4265a64d121638449c96c_9370","DRO_2292.p01","5b1dec001b64d68f08bc514628990a75_3818"
"MSS93_04165","","DNA-directed RNA polymerase subunit alpha","8","8","1","1","571","1","571","","1025","1025","1025","DR_2128.p01","A2G07_02965.p01","a6679ee1dd99a76d4f263da36fcf6004_5340","689a1f7569cd370648666ad3906989ad_222","e7eb4eb1fba968f75f75040ad2de8570_2458","5974397fafb4265a64d121638449c96c_8577","DRO_2100.p01","5b1dec001b64d68f08bc514628990a75_3016"
"hmpA","","NO-inducible flavohemoprotein","8","8","1","2","229","2","302","","1211","1211","1211","DR_A0243.p01","A2G07_14685.p01","a6679ee1dd99a76d4f263da36fcf6004_11381","689a1f7569cd370648666ad3906989ad_10470","e7eb4eb1fba968f75f75040ad2de8570_11003","5974397fafb4265a64d121638449c96c_11614","DRO_A0244.p01","5b1dec001b64d68f08bc514628990a75_11372"
"DR_0536","","cell envelope biogenesis protein OmpA","8","8","1","1","2077","1","1348","","605","605","605","DR_0536.p01","A2G07_10825.p01","a6679ee1dd99a76d4f263da36fcf6004_9602","689a1f7569cd370648666ad3906989ad_4320","e7eb4eb1fba968f75f75040ad2de8570_8511","5974397fafb4265a64d121638449c96c_2182","DRO_0534.p01","5b1dec001b64d68f08bc514628990a75_7244"
"paaF","","phenylacetate--CoA ligase","8","8","1","2","218","2","313","","1280","1280","1280","DR_A0256.p01","A2G07_14740.p01","a6679ee1dd99a76d4f263da36fcf6004_11427","689a1f7569cd370648666ad3906989ad_10428","e7eb4eb1fba968f75f75040ad2de8570_11044","5974397fafb4265a64d121638449c96c_11656","DRO_A0255.p01","5b1dec001b64d68f08bc514628990a75_11330"
"ffh","","signal recognition particle protein","8","8","1","1","858","1","858","","1358","1358","1358","DR_1836.p01","A2G07_04420.p01","a6679ee1dd99a76d4f263da36fcf6004_4163","689a1f7569cd370648666ad3906989ad_9369","e7eb4eb1fba968f75f75040ad2de8570_3590","5974397fafb4265a64d121638449c96c_7394","DRO_1815.p01","5b1dec001b64d68f08bc514628990a75_1882"
"E5E91_07425","","sugar ABC transporter permease","8","8","1","1","1240","1","2215","","569","983","928","DR_1437.p01","A2G07_06370.p01","a6679ee1dd99a76d4f263da36fcf6004_2576","689a1f7569cd370648666ad3906989ad_7810","e7eb4eb1fba968f75f75040ad2de8570_5095","5974397fafb4265a64d121638449c96c_5799","DRO_1422.p01","5b1dec001b64d68f08bc514628990a75_309"
"HAV23_15715","","SgrR family transcriptional regulator","8","8","1","3","116","3","142","","1736","1736","1736","DR_B0042.p01","A2G07_15115.p01","a6679ee1dd99a76d4f263da36fcf6004_12425","689a1f7569cd370648666ad3906989ad_12364","e7eb4eb1fba968f75f75040ad2de8570_11940","5974397fafb4265a64d121638449c96c_12407","DRO_B0044.p01","5b1dec001b64d68f08bc514628990a75_12650"
"HAV35_05080","","aminodeoxychorismate/anthranilate synthase component II","8","8","1","1","926","1","2529","","605","605","605","DR_1766.p01","A2G07_04760.p01","a6679ee1dd99a76d4f263da36fcf6004_3875","689a1f7569cd370648666ad3906989ad_9093","e7eb4eb1fba968f75f75040ad2de8570_3869","5974397fafb4265a64d121638449c96c_7104","DRO_1746.p01","5b1dec001b64d68f08bc514628990a75_1578"
"HAV35_12905","","hypothetical protein","8","8","1","1","1757","1","1028","","392","392","392","DR_0208.p01","A2G07_12490.p01","a6679ee1dd99a76d4f263da36fcf6004_8255","689a1f7569cd370648666ad3906989ad_3047","e7eb4eb1fba968f75f75040ad2de8570_9763","5974397fafb4265a64d121638449c96c_838","DRO_0208.p01","5b1dec001b64d68f08bc514628990a75_5906"
"DXG80_14125","","PIG-L family deacetylase","8","8","1","2","336","2","195","","698","698","698","DR_A0132.p01","A2G07_14145.p01","a6679ee1dd99a76d4f263da36fcf6004_10941","689a1f7569cd370648666ad3906989ad_10894","e7eb4eb1fba968f75f75040ad2de8570_10575","5974397fafb4265a64d121638449c96c_11176","DRO_A0133.p01","5b1dec001b64d68f08bc514628990a75_11828"
"DXG80_11815","","DNA-binding response regulator","8","8","1","1","1971","1","1242","","644","644","644","DR_0432.p01","A2G07_11375.p01","a6679ee1dd99a76d4f263da36fcf6004_9159","689a1f7569cd370648666ad3906989ad_3902","e7eb4eb1fba968f75f75040ad2de8570_8929","5974397fafb4265a64d121638449c96c_1744","DRO_0430.p01","5b1dec001b64d68f08bc514628990a75_6791"
"tig","","trigger factor","8","8","1","1","753","1","753","","1397","1397","1397","DR_1948.p01","A2G07_03895.p01","a6679ee1dd99a76d4f263da36fcf6004_4591","689a1f7569cd370648666ad3906989ad_9796","e7eb4eb1fba968f75f75040ad2de8570_3176","5974397fafb4265a64d121638449c96c_7826","DRO_1922.p01","5b1dec001b64d68f08bc514628990a75_2299"
"MSS93_08430","","MFS transporter","8","8","1","1","1803","1","1074","","1634","1634","1634","DR_0258.p01","A2G07_12250.p01","a6679ee1dd99a76d4f263da36fcf6004_8459","689a1f7569cd370648666ad3906989ad_3237","e7eb4eb1fba968f75f75040ad2de8570_9577","5974397fafb4265a64d121638449c96c_1042","DRO_0254.p01","5b1dec001b64d68f08bc514628990a75_6086"
"HAV35_02895","","ABC transporter ATP-binding protein","8","8","1","1","506","1","506","","683","683","683","DR_2192.p01","A2G07_02630.p01","a6679ee1dd99a76d4f263da36fcf6004_5613","689a1f7569cd370648666ad3906989ad_480","e7eb4eb1fba968f75f75040ad2de8570_2203","5974397fafb4265a64d121638449c96c_8842","DRO_2163.p01","5b1dec001b64d68f08bc514628990a75_3267"
"rpmE","","50S ribosomal protein L31","8","8","1","1","2354","1","1625","","221","221","221","DR_0825.p01","A2G07_09385.p01","a6679ee1dd99a76d4f263da36fcf6004_144","689a1f7569cd370648666ad3906989ad_5443","e7eb4eb1fba968f75f75040ad2de8570_7400","5974397fafb4265a64d121638449c96c_3358","DRO_0820.p01","5b1dec001b64d68f08bc514628990a75_8468"
"E5E91_11600","","peroxiredoxin","8","8","1","1","453","1","453","","455","455","455","DR_2242.p01","A2G07_02365.p01","a6679ee1dd99a76d4f263da36fcf6004_5823","689a1f7569cd370648666ad3906989ad_691","e7eb4eb1fba968f75f75040ad2de8570_1990","5974397fafb4265a64d121638449c96c_9049","DRO_2216.p01","5b1dec001b64d68f08bc514628990a75_3468"
"HAV35_08100","","allantoinase","8","8","1","1","1515","1","1940","","1346","1346","1346","DR_1153.p01","A2G07_07755.p01","a6679ee1dd99a76d4f263da36fcf6004_1466","689a1f7569cd370648666ad3906989ad_6743","e7eb4eb1fba968f75f75040ad2de8570_6147","5974397fafb4265a64d121638449c96c_4689","DRO_1150.p01","5b1dec001b64d68f08bc514628990a75_9780"
"mutY","","A/G-specific adenine glycosylase","8","8","1","1","410","1","410","","1091","1091","1091","DR_2285.p01","A2G07_02140.p01","a6679ee1dd99a76d4f263da36fcf6004_6000","689a1f7569cd370648666ad3906989ad_852","e7eb4eb1fba968f75f75040ad2de8570_1832","5974397fafb4265a64d121638449c96c_9228","DRO_2259.p01","5b1dec001b64d68f08bc514628990a75_3663"
"DXG80_06645","","triacylglycerol lipase","8","8","1","1","621","1","621","","713","713","713","DR_2078.p01","A2G07_03215.p01","a6679ee1dd99a76d4f263da36fcf6004_5138","689a1f7569cd370648666ad3906989ad_23","e7eb4eb1fba968f75f75040ad2de8570_2652","5974397fafb4265a64d121638449c96c_8375","DRO_2051.p01","5b1dec001b64d68f08bc514628990a75_2817"
