"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000024845.1","GCA_000224745.1","GCA_009936255.1","GCA_009936275.1"
"Rhom172_1853","","5-formyltetrahydrofolate cyclo-ligase","4","4","1","1","2130","1","1940","","590","590","590","179fc4b66b5fe7c86a05d012dd5a340c_4340","2124b6b02b7cef79fdc244b38ecf46bc_7661","RmaAA213_10640.p01","RmaAA338_10750.p01"
"RmaAA213_10670","","hypothetical protein","4","4","1","1","2127","1","1937","","569","626","595","179fc4b66b5fe7c86a05d012dd5a340c_4352","2124b6b02b7cef79fdc244b38ecf46bc_7649","RmaAA213_10670.p01","RmaAA338_10780.p01"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","4","4","1","1","2125","1","1935","","719","719","719","179fc4b66b5fe7c86a05d012dd5a340c_4360","2124b6b02b7cef79fdc244b38ecf46bc_7641","RmaAA213_10690.p01","RmaAA338_10800.p01"
"RmaAA213_10760","","peptidase M20","4","4","1","1","2118","1","1928","","1487","1493","1488","179fc4b66b5fe7c86a05d012dd5a340c_4389","2124b6b02b7cef79fdc244b38ecf46bc_7613","RmaAA213_10760.p01","RmaAA338_10870.p01"
"trpA","","tryptophan synthase alpha chain","4","4","1","1","2100","1","1910","","830","860","837","179fc4b66b5fe7c86a05d012dd5a340c_4440","2124b6b02b7cef79fdc244b38ecf46bc_7548","RmaAA213_10940.p01","RmaAA338_11050.p01"
"Rmar_1056","","ATP-dependent DNA helicase RecQ","4","4","1","1","2095","1","1905","","1754","1754","1754","179fc4b66b5fe7c86a05d012dd5a340c_4465","2124b6b02b7cef79fdc244b38ecf46bc_7527","RmaAA213_10990.p01","RmaAA338_11100.p01"
"Rmar_1844","","hypothetical protein","4","4","1","1","1170","1","980","","1022","1058","1031","179fc4b66b5fe7c86a05d012dd5a340c_7816","2124b6b02b7cef79fdc244b38ecf46bc_7441","RmaAA213_20140.p01","RmaAA338_20190.p01"
"deoC","","deoxyribose-phosphate aldolase","4","4","1","1","2094","1","1904","","701","725","713","179fc4b66b5fe7c86a05d012dd5a340c_4469","2124b6b02b7cef79fdc244b38ecf46bc_7524","RmaAA213_11000.p01","RmaAA338_11110.p01"
"hyuB","","5-oxoprolinase (ATP-hydrolyzing)","4","4","1","1","2089","1","1899","","1559","1589","1566","179fc4b66b5fe7c86a05d012dd5a340c_4489","2124b6b02b7cef79fdc244b38ecf46bc_4192","RmaAA213_11050.p01","RmaAA338_11160.p01"
"Rhom172_1010","","aminopeptidase","4","4","1","1","2086","1","1896","","1367","1409","1397","179fc4b66b5fe7c86a05d012dd5a340c_4503","2124b6b02b7cef79fdc244b38ecf46bc_4205","RmaAA213_11080.p01","RmaAA338_11190.p01"
"Rhom172_1021","","anti-FecI sigma factor, FecR","4","4","1","1","2076","1","1886","","1043","1043","1043","179fc4b66b5fe7c86a05d012dd5a340c_4554","2124b6b02b7cef79fdc244b38ecf46bc_4250","RmaAA213_11180.p01","RmaAA338_11290.p01"
"Rhom172_1022","","TonB-dependent receptor plug","4","4","1","1","2075","1","1885","","3437","3443","3440","179fc4b66b5fe7c86a05d012dd5a340c_4559","2124b6b02b7cef79fdc244b38ecf46bc_4254","RmaAA213_11190.p01","RmaAA338_11300.p01"
"RmaAA338_11430","","DNA methyltransferase","4","4","1","1","2062","1","1872","","1460","1583","1521","179fc4b66b5fe7c86a05d012dd5a340c_4608","2124b6b02b7cef79fdc244b38ecf46bc_4305","RmaAA213_11320.p01","RmaAA338_11430.p01"
"RmaAA213_11420","","TonB-dependent receptor plug","4","4","1","1","2052","1","1862","","2240","2243","2242","179fc4b66b5fe7c86a05d012dd5a340c_4633","2124b6b02b7cef79fdc244b38ecf46bc_4329","RmaAA213_11420.p01","RmaAA338_11530.p01"
"RmaAA338_11690","","thioredoxin domain-containing protein","4","4","1","1","2032","1","1842","","2099","2099","2099","179fc4b66b5fe7c86a05d012dd5a340c_4713","2124b6b02b7cef79fdc244b38ecf46bc_4408","RmaAA213_11580.p01","RmaAA338_11690.p01"
"ybjU","","threonine aldolase","4","4","1","1","2027","1","1837","","1034","1034","1034","179fc4b66b5fe7c86a05d012dd5a340c_4729","2124b6b02b7cef79fdc244b38ecf46bc_7004","RmaAA213_11630.p01","RmaAA338_11740.p01"
"Rhom172_1656","","glycosyl transferase group 1","4","4","1","1","1982","1","1792","","1244","1259","1251","179fc4b66b5fe7c86a05d012dd5a340c_4855","2124b6b02b7cef79fdc244b38ecf46bc_6846","RmaAA213_12080.p01","RmaAA338_12100.p01"
"RmaAA338_12160","","glycosyl transferase family 2","4","4","1","1","1976","1","1786","","1112","1112","1112","179fc4b66b5fe7c86a05d012dd5a340c_4881","2124b6b02b7cef79fdc244b38ecf46bc_6802","RmaAA213_12140.p01","RmaAA338_12160.p01"
"RmaAA213_12160","","GMC oxidoreductase","4","4","1","1","1974","1","1784","","1571","1643","1607","179fc4b66b5fe7c86a05d012dd5a340c_4889","2124b6b02b7cef79fdc244b38ecf46bc_6794","RmaAA213_12160.p01","RmaAA338_12180.p01"
"Rhom172_1636","","hypothetical protein","4","4","1","1","1951","1","1761","","788","824","806","179fc4b66b5fe7c86a05d012dd5a340c_4985","2124b6b02b7cef79fdc244b38ecf46bc_6765","RmaAA213_12390.p01","RmaAA338_12410.p01"
"RmaAA213_12400","","hypothetical protein","4","4","1","1","1950","1","1760","","866","911","888","179fc4b66b5fe7c86a05d012dd5a340c_4990","2124b6b02b7cef79fdc244b38ecf46bc_6760","RmaAA213_12400.p01","RmaAA338_12420.p01"
"Rhom172_1626","","beta-glucuronidase","4","4","1","1","1939","1","1749","","1814","1814","1814","179fc4b66b5fe7c86a05d012dd5a340c_5033","2124b6b02b7cef79fdc244b38ecf46bc_6718","RmaAA213_12500.p01","RmaAA338_12510.p01"
"rluA","","RNA pseudouridine synthase","4","4","1","1","1933","1","1743","","728","764","737","179fc4b66b5fe7c86a05d012dd5a340c_5058","2124b6b02b7cef79fdc244b38ecf46bc_6701","RmaAA213_12560.p01","RmaAA338_12570.p01"
"RmaAA338_12600","","CDP-alcohol phosphatidyltransferase","4","4","1","1","1930","1","1740","","935","935","935","179fc4b66b5fe7c86a05d012dd5a340c_5070","2124b6b02b7cef79fdc244b38ecf46bc_6689","RmaAA213_12590.p01","RmaAA338_12600.p01"
"hemH","","ferrochelatase","4","4","1","1","1926","1","1736","","1331","1331","1331","179fc4b66b5fe7c86a05d012dd5a340c_5086","2124b6b02b7cef79fdc244b38ecf46bc_6673","RmaAA213_12630.p01","RmaAA338_12640.p01"
"rnr","","ribonuclease R","4","4","1","1","1924","1","1734","","2156","2255","2205","179fc4b66b5fe7c86a05d012dd5a340c_5095","2124b6b02b7cef79fdc244b38ecf46bc_6665","RmaAA213_12650.p01","RmaAA338_12660.p01"
"aroB","","3-dehydroquinate synthase","4","4","1","1","1922","1","1732","","1100","1124","1112","179fc4b66b5fe7c86a05d012dd5a340c_5104","2124b6b02b7cef79fdc244b38ecf46bc_6657","RmaAA213_12670.p01","RmaAA338_12680.p01"
"Rhom172_1607","","phosphohistidine phosphatase SixA","4","4","1","1","1918","1","1728","","488","488","488","179fc4b66b5fe7c86a05d012dd5a340c_5125","2124b6b02b7cef79fdc244b38ecf46bc_6641","RmaAA213_12710.p01","RmaAA338_12720.p01"
"Rhom172_1259","","cysteine desulfurase","4","4","1","1","1910","1","1720","","1172","1172","1172","179fc4b66b5fe7c86a05d012dd5a340c_5159","2124b6b02b7cef79fdc244b38ecf46bc_5227","RmaAA213_12790.p01","RmaAA338_12800.p01"
"RmaAA338_12820","","hypothetical protein","4","4","1","1","1908","1","1718","","836","896","881","179fc4b66b5fe7c86a05d012dd5a340c_5168","2124b6b02b7cef79fdc244b38ecf46bc_5236","RmaAA213_12810.p01","RmaAA338_12820.p01"
"ppx","","exopolyphosphatase","4","4","1","1","1878","1","1688","","1604","1637","1628","179fc4b66b5fe7c86a05d012dd5a340c_5287","2124b6b02b7cef79fdc244b38ecf46bc_5349","RmaAA213_13100.p01","RmaAA338_13110.p01"
"RmaAA213_13150","","Citrate transporter","4","4","1","1","1873","1","1683","","1538","1583","1571","179fc4b66b5fe7c86a05d012dd5a340c_5310","2124b6b02b7cef79fdc244b38ecf46bc_5370","RmaAA213_13150.p01","RmaAA338_13160.p01"
"RmaAA213_13280","","homoserine kinase","4","4","1","1","1859","1","1669","","950","977","963","179fc4b66b5fe7c86a05d012dd5a340c_5366","2124b6b02b7cef79fdc244b38ecf46bc_5425","RmaAA213_13280.p01","RmaAA338_13290.p01"
"RmaAA213_13440","","manganese transporter","4","4","1","1","1842","1","1652","","896","947","921","179fc4b66b5fe7c86a05d012dd5a340c_5439","2124b6b02b7cef79fdc244b38ecf46bc_5495","RmaAA213_13440.p01","RmaAA338_13450.p01"
"RmaAA338_13460","","iron (metal) dependent repressor, DtxR family","4","4","1","1","1841","1","1651","","656","656","656","179fc4b66b5fe7c86a05d012dd5a340c_5443","2124b6b02b7cef79fdc244b38ecf46bc_5499","RmaAA213_13450.p01","RmaAA338_13460.p01"
"Rhom172_1325","","thioredoxin","4","4","1","1","1839","1","1649","","626","626","626","179fc4b66b5fe7c86a05d012dd5a340c_5452","2124b6b02b7cef79fdc244b38ecf46bc_5508","RmaAA213_13470.p01","RmaAA338_13480.p01"
"Rhom172_1330","","peptidylprolyl isomerase","4","4","1","1","1834","1","1644","","875","875","875","179fc4b66b5fe7c86a05d012dd5a340c_5479","2124b6b02b7cef79fdc244b38ecf46bc_5529","RmaAA213_13520.p01","RmaAA338_13530.p01"
"RmaAA213_13530","","PpiC-type peptidyl-prolyl cis-trans isomerase","4","4","1","1","1833","1","1643","","2054","2114","2069","179fc4b66b5fe7c86a05d012dd5a340c_5484","2124b6b02b7cef79fdc244b38ecf46bc_5533","RmaAA213_13530.p01","RmaAA338_13540.p01"
"Rhom172_1364","","aminopeptidase","4","4","1","1","1800","1","1610","","1070","1070","1070","179fc4b66b5fe7c86a05d012dd5a340c_5618","2124b6b02b7cef79fdc244b38ecf46bc_5667","RmaAA213_13860.p01","RmaAA338_13870.p01"
"purC","","phosphoribosylaminoimidazole-succinocarboxamide synthase","4","4","1","1","1695","1","1505","","986","986","986","179fc4b66b5fe7c86a05d012dd5a340c_5668","2124b6b02b7cef79fdc244b38ecf46bc_5764","RmaAA213_14910.p01","RmaAA338_14920.p01"
"Rmar_1346","","hypothetical protein","4","4","1","1","1683","1","1493","","488","545","530","179fc4b66b5fe7c86a05d012dd5a340c_5718","2124b6b02b7cef79fdc244b38ecf46bc_5813","RmaAA213_15030.p01","RmaAA338_15040.p01"
"Rmar_1347","","peptidase M16 domain protein","4","4","1","1","1682","1","1492","","1280","1280","1280","179fc4b66b5fe7c86a05d012dd5a340c_5722","2124b6b02b7cef79fdc244b38ecf46bc_5817","RmaAA213_15040.p01","RmaAA338_15050.p01"
"polA","","DNA polymerase I","4","4","1","1","1680","1","1490","","2774","2837","2821","179fc4b66b5fe7c86a05d012dd5a340c_5730","2124b6b02b7cef79fdc244b38ecf46bc_5825","RmaAA213_15060.p01","RmaAA338_15070.p01"
"Rhom172_1408","","dTDP-4-dehydrorhamnose 3,5-epimerase","4","4","1","1","1677","1","1487","","473","473","473","179fc4b66b5fe7c86a05d012dd5a340c_5742","2124b6b02b7cef79fdc244b38ecf46bc_5837","RmaAA213_15090.p01","RmaAA338_15100.p01"
"folP","","dihydropteroate synthase","4","4","1","1","149","1","2224","","935","1040","961","179fc4b66b5fe7c86a05d012dd5a340c_625","2124b6b02b7cef79fdc244b38ecf46bc_584","RmaAA213_01460.p01","RmaAA338_01380.p01"
"Rmar_1354","","fructosamine kinase","4","4","1","1","1675","1","1485","","875","875","875","179fc4b66b5fe7c86a05d012dd5a340c_5750","2124b6b02b7cef79fdc244b38ecf46bc_5845","RmaAA213_15110.p01","RmaAA338_15120.p01"
"RmaAA213_15190","","osmotically inducible protein OsmC","4","4","1","1","1667","1","1477","","362","422","392","179fc4b66b5fe7c86a05d012dd5a340c_5793","2124b6b02b7cef79fdc244b38ecf46bc_5878","RmaAA213_15190.p01","RmaAA338_15220.p01"
"copA_2","","copper oxidase","4","4","1","1","1656","1","1466","","1850","1865","1861","179fc4b66b5fe7c86a05d012dd5a340c_5841","2124b6b02b7cef79fdc244b38ecf46bc_5923","RmaAA213_15300.p01","RmaAA338_15330.p01"
"Rhom172_1432","","hypothetical protein","4","4","1","1","1653","1","1463","","662","662","662","179fc4b66b5fe7c86a05d012dd5a340c_5855","2124b6b02b7cef79fdc244b38ecf46bc_5937","RmaAA213_15330.p01","RmaAA338_15360.p01"
"RmaAA213_15440","","transcriptional regulator","4","4","1","1","1642","1","1452","","413","416","413","179fc4b66b5fe7c86a05d012dd5a340c_5907","2124b6b02b7cef79fdc244b38ecf46bc_5988","RmaAA213_15440.p01","RmaAA338_15480.p01"
"RmaAA213_15530","","Dolichyl-phosphate beta-D-mannosyltransferase","4","4","1","1","1632","1","1442","","710","749","719","179fc4b66b5fe7c86a05d012dd5a340c_5947","2124b6b02b7cef79fdc244b38ecf46bc_6027","RmaAA213_15530.p01","RmaAA338_15570.p01"
"RmaAA213_01590","","protein of unknown function DUF368","4","4","1","1","162","1","2237","","893","896","895","179fc4b66b5fe7c86a05d012dd5a340c_674","2124b6b02b7cef79fdc244b38ecf46bc_631","RmaAA213_01590.p01","RmaAA338_01510.p01"
"comF","","competence protein F","4","4","1","1","1626","1","1436","","713","770","727","179fc4b66b5fe7c86a05d012dd5a340c_5972","2124b6b02b7cef79fdc244b38ecf46bc_6052","RmaAA213_15590.p01","RmaAA338_15630.p01"
"Rmar_1411","","heme exporter protein CcmA","4","4","1","1","1615","1","1425","","626","626","626","179fc4b66b5fe7c86a05d012dd5a340c_5993","2124b6b02b7cef79fdc244b38ecf46bc_6090","RmaAA213_15700.p01","RmaAA338_15740.p01"
"Rmar_1416","","hypothetical protein","4","4","1","1","1610","1","1420","","608","608","608","179fc4b66b5fe7c86a05d012dd5a340c_6010","2124b6b02b7cef79fdc244b38ecf46bc_6111","RmaAA213_15750.p01","RmaAA338_15790.p01"
"RmaAA213_15810","","TonB family protein","4","4","1","1","1604","1","1414","","710","716","714","179fc4b66b5fe7c86a05d012dd5a340c_6037","2124b6b02b7cef79fdc244b38ecf46bc_6137","RmaAA213_15810.p01","RmaAA338_15850.p01"
"RmaAA213_15930","","hypothetical protein","4","4","1","1","1592","1","1402","","260","260","260","179fc4b66b5fe7c86a05d012dd5a340c_6076","2124b6b02b7cef79fdc244b38ecf46bc_6170","RmaAA213_15930.p01","RmaAA338_15980.p01"
"ilvB-2","","acetolactate synthase","4","4","1","1","1579","1","1389","","1745","1745","1745","179fc4b66b5fe7c86a05d012dd5a340c_6131","2124b6b02b7cef79fdc244b38ecf46bc_6215","RmaAA213_16060.p01","RmaAA338_16110.p01"
"RmaAA213_16070","","KsdD-like steroid dehydrogenase","4","4","1","1","1578","1","1388","","1613","1613","1613","179fc4b66b5fe7c86a05d012dd5a340c_6135","2124b6b02b7cef79fdc244b38ecf46bc_6219","RmaAA213_16070.p01","RmaAA338_16120.p01"
"Rmar_1457","","protein of unknown function DUF541","4","4","1","1","1565","1","1375","","728","728","728","179fc4b66b5fe7c86a05d012dd5a340c_6187","2124b6b02b7cef79fdc244b38ecf46bc_6267","RmaAA213_16200.p01","RmaAA338_16250.p01"
"Rhom172_1519","","putative short chain dehydrogenase/reductase","4","4","1","1","1562","1","1372","","800","800","800","179fc4b66b5fe7c86a05d012dd5a340c_6211","2124b6b02b7cef79fdc244b38ecf46bc_6284","RmaAA213_16230.p01","RmaAA338_16280.p01"
"RmaAA213_16250","","Flavin-containing monooxygenase","4","4","1","1","1560","1","1370","","1346","1346","1346","179fc4b66b5fe7c86a05d012dd5a340c_6219","2124b6b02b7cef79fdc244b38ecf46bc_6292","RmaAA213_16250.p01","RmaAA338_16300.p01"
"RmaAA213_06020","","glycosyl transferase","4","4","1","1","2597","1","2682","","962","962","962","179fc4b66b5fe7c86a05d012dd5a340c_2455","2124b6b02b7cef79fdc244b38ecf46bc_2374","RmaAA213_06020.p01","RmaAA338_06000.p01"
"RmaAA338_16350","","3-hydroxyacyl-CoA dehydrogenase","4","4","1","1","1555","1","1365","","2141","2162","2152","179fc4b66b5fe7c86a05d012dd5a340c_6239","2124b6b02b7cef79fdc244b38ecf46bc_6316","RmaAA213_16300.p01","RmaAA338_16350.p01"
"Rmar_1472","","beta-lactamase domain protein","4","4","1","1","1552","1","1362","","920","923","920","179fc4b66b5fe7c86a05d012dd5a340c_6251","2124b6b02b7cef79fdc244b38ecf46bc_6328","RmaAA213_16330.p01","RmaAA338_16380.p01"
"Rmar_1477","","alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen","4","4","1","1","1547","1","1357","","1370","1370","1370","179fc4b66b5fe7c86a05d012dd5a340c_6272","2124b6b02b7cef79fdc244b38ecf46bc_6348","RmaAA213_16380.p01","RmaAA338_16430.p01"
"RmaAA213_16440","","RNA polymerase, sigma-24 subunit, ECF subfamily","4","4","1","1","1541","1","1351","","572","572","572","179fc4b66b5fe7c86a05d012dd5a340c_6299","2124b6b02b7cef79fdc244b38ecf46bc_6374","RmaAA213_16440.p01","RmaAA338_16490.p01"
"Rmar_1487","","undecaprenyl-phosphate glucose phosphotransferase","4","4","1","1","1537","1","1347","","1433","1433","1433","179fc4b66b5fe7c86a05d012dd5a340c_6317","2124b6b02b7cef79fdc244b38ecf46bc_6391","RmaAA213_16480.p01","RmaAA338_16530.p01"
"mtnA","","methylthioribose-1-phosphate isomerase","4","4","1","1","1533","1","1343","","1058","1061","1059","179fc4b66b5fe7c86a05d012dd5a340c_6333","2124b6b02b7cef79fdc244b38ecf46bc_6407","RmaAA213_16520.p01","RmaAA338_16570.p01"
"RmaAA338_16590","","SAM-dependent methyltransferase","4","4","1","1","1531","1","1341","","1202","1202","1202","179fc4b66b5fe7c86a05d012dd5a340c_6342","2124b6b02b7cef79fdc244b38ecf46bc_6415","RmaAA213_16540.p01","RmaAA338_16590.p01"
"RmaAA338_16610","","hypothetical protein","4","4","1","1","1529","1","1339","","1172","1172","1172","179fc4b66b5fe7c86a05d012dd5a340c_6350","2124b6b02b7cef79fdc244b38ecf46bc_6423","RmaAA213_16560.p01","RmaAA338_16610.p01"
"folB","","7,8-dihydroneopterin aldolase","4","4","1","1","1511","1","1321","","416","416","416","179fc4b66b5fe7c86a05d012dd5a340c_6426","2124b6b02b7cef79fdc244b38ecf46bc_6497","RmaAA213_16740.p01","RmaAA338_16790.p01"
"RmaAA213_16750","","sugar kinase","4","4","1","1","1510","1","1320","","956","956","956","179fc4b66b5fe7c86a05d012dd5a340c_6430","2124b6b02b7cef79fdc244b38ecf46bc_6501","RmaAA213_16750.p01","RmaAA338_16800.p01"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene- 1-carboxylate synthase","4","4","1","1","2590","1","2689","","1748","1748","1748","179fc4b66b5fe7c86a05d012dd5a340c_2483","2124b6b02b7cef79fdc244b38ecf46bc_2402","RmaAA213_06090.p01","RmaAA338_06070.p01"
"Rmar_1529","","putative 3-methyladenine DNA glycosylase","4","4","1","1","1494","1","1304","","626","665","641","179fc4b66b5fe7c86a05d012dd5a340c_6495","2124b6b02b7cef79fdc244b38ecf46bc_6577","RmaAA213_16900.p01","RmaAA338_16950.p01"
"paaC","","phenylacetate-CoA oxygenase, PaaI subunit","4","4","1","1","1479","1","1289","","782","782","782","179fc4b66b5fe7c86a05d012dd5a340c_6561","2124b6b02b7cef79fdc244b38ecf46bc_5181","RmaAA213_17050.p01","RmaAA338_17100.p01"
"pdh","","pyruvate dehydrogenase E1 subunit beta","4","4","1","1","1474","1","1284","","2129","2132","2129","179fc4b66b5fe7c86a05d012dd5a340c_6577","2124b6b02b7cef79fdc244b38ecf46bc_5161","RmaAA213_17100.p01","RmaAA338_17150.p01"
"Rmar_1550","","crotonase","4","4","1","1","1473","1","1283","","785","791","788","179fc4b66b5fe7c86a05d012dd5a340c_6581","2124b6b02b7cef79fdc244b38ecf46bc_5157","RmaAA213_17110.p01","RmaAA338_17160.p01"
"paaZ","","bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase","4","4","1","1","1467","1","1277","","2072","2072","2072","179fc4b66b5fe7c86a05d012dd5a340c_6605","2124b6b02b7cef79fdc244b38ecf46bc_5133","RmaAA213_17170.p01","RmaAA338_17220.p01"
"RmaAA338_17280","","DNA polymerase beta domain protein region","4","4","1","1","1461","1","1271","","383","458","439","179fc4b66b5fe7c86a05d012dd5a340c_6634","2124b6b02b7cef79fdc244b38ecf46bc_5104","RmaAA213_17230.p01","RmaAA338_17280.p01"
"Rmar_1581","","aspartate aminotransferase family protein","4","4","1","1","1442","1","1252","","1397","1427","1419","179fc4b66b5fe7c86a05d012dd5a340c_6709","2124b6b02b7cef79fdc244b38ecf46bc_5026","RmaAA213_17420.p01","RmaAA338_17470.p01"
"RmaAA338_17480","","hypothetical protein","4","4","1","1","1441","1","1251","","485","506","490","179fc4b66b5fe7c86a05d012dd5a340c_6714","2124b6b02b7cef79fdc244b38ecf46bc_5022","RmaAA213_17430.p01","RmaAA338_17480.p01"
"Rmar_1590","","hypothetical protein","4","4","1","1","1433","1","1243","","479","539","509","179fc4b66b5fe7c86a05d012dd5a340c_6743","2124b6b02b7cef79fdc244b38ecf46bc_4992","RmaAA213_17510.p01","RmaAA338_17560.p01"
"Rmar_0612","","hypothetical protein","4","4","1","1","2560","1","2719","","704","791","754","179fc4b66b5fe7c86a05d012dd5a340c_2612","2124b6b02b7cef79fdc244b38ecf46bc_2526","RmaAA213_06390.p01","RmaAA338_06370.p01"
"RmaAA213_17520","","hemin ABC transporter ATP-binding protein","4","4","1","1","1432","1","1242","","788","788","788","179fc4b66b5fe7c86a05d012dd5a340c_6747","2124b6b02b7cef79fdc244b38ecf46bc_4988","RmaAA213_17520.p01","RmaAA338_17570.p01"
"yojM","","superoxide dismutase [Cu-Zn]","4","4","1","1","1412","1","1222","","554","554","554","179fc4b66b5fe7c86a05d012dd5a340c_6825","2124b6b02b7cef79fdc244b38ecf46bc_4960","RmaAA213_17720.p01","RmaAA338_17770.p01"
"yrbG_2","","Na /Ca  antiporter, CaCA family","4","4","1","1","1407","1","1217","","938","938","938","179fc4b66b5fe7c86a05d012dd5a340c_6852","2124b6b02b7cef79fdc244b38ecf46bc_4934","RmaAA213_17770.p01","RmaAA338_17820.p01"
"argH","","argininosuccinate lyase","4","4","1","1","1398","1","1208","","1319","1319","1319","179fc4b66b5fe7c86a05d012dd5a340c_6889","2124b6b02b7cef79fdc244b38ecf46bc_4897","RmaAA213_17860.p01","RmaAA338_17910.p01"
"RmaAA338_17930","","glycoside hydrolase","4","4","1","1","1396","1","1206","","785","785","785","179fc4b66b5fe7c86a05d012dd5a340c_6897","2124b6b02b7cef79fdc244b38ecf46bc_4889","RmaAA213_17880.p01","RmaAA338_17930.p01"
"Rmar_1631","","hypothetical protein","4","4","1","1","1392","1","1202","","689","689","689","179fc4b66b5fe7c86a05d012dd5a340c_6915","2124b6b02b7cef79fdc244b38ecf46bc_4834","RmaAA213_17920.p01","RmaAA338_17970.p01"
"RmaAA213_18000","","CRISPR-associated protein Cas4","4","4","1","1","1384","1","1194","","542","542","542","179fc4b66b5fe7c86a05d012dd5a340c_6943","2124b6b02b7cef79fdc244b38ecf46bc_4786","RmaAA213_18000.p01","RmaAA338_18050.p01"
"RmaAA338_18120","","CRISPR-associated endoribonuclease Cas6","4","4","1","1","1377","1","1187","","719","722","721","179fc4b66b5fe7c86a05d012dd5a340c_6963","2124b6b02b7cef79fdc244b38ecf46bc_4758","RmaAA213_18070.p01","RmaAA338_18120.p01"
"Rhom172_1142","","WYL domain-containing protein","4","4","1","1","1376","1","1186","","1043","1043","1043","179fc4b66b5fe7c86a05d012dd5a340c_6967","2124b6b02b7cef79fdc244b38ecf46bc_4754","RmaAA213_18080.p01","RmaAA338_18130.p01"
"RmaAA338_07600","","hypothetical protein","4","4","1","1","2434","1","2845","","374","428","412","179fc4b66b5fe7c86a05d012dd5a340c_3127","2124b6b02b7cef79fdc244b38ecf46bc_8846","RmaAA213_07630.p01","RmaAA338_07600.p01"
"pdxA","","4-hydroxythreonine-4-phosphate dehydrogenase","4","4","1","1","1368","1","1178","","1049","1079","1071","179fc4b66b5fe7c86a05d012dd5a340c_7000","2124b6b02b7cef79fdc244b38ecf46bc_4722","RmaAA213_18160.p01","RmaAA338_18210.p01"
"RmaAA213_18300","","CsbD-like protein","4","4","1","1","1354","1","1164","","191","191","191","179fc4b66b5fe7c86a05d012dd5a340c_7048","2124b6b02b7cef79fdc244b38ecf46bc_4674","RmaAA213_18300.p01","RmaAA338_18350.p01"
"RmaAA338_18360","","hypothetical protein","4","4","1","1","1353","1","1163","","473","473","473","179fc4b66b5fe7c86a05d012dd5a340c_7053","2124b6b02b7cef79fdc244b38ecf46bc_4670","RmaAA213_18310.p01","RmaAA338_18360.p01"
"RmaAA338_18390","","uroporphyrin-III C-methyltransferase","4","4","1","1","1350","1","1160","","815","815","815","179fc4b66b5fe7c86a05d012dd5a340c_7065","2124b6b02b7cef79fdc244b38ecf46bc_4657","RmaAA213_18340.p01","RmaAA338_18390.p01"
"Rmar_1674","","oxidoreductase","4","4","1","1","1344","1","1154","","935","935","935","179fc4b66b5fe7c86a05d012dd5a340c_7089","2124b6b02b7cef79fdc244b38ecf46bc_4633","RmaAA213_18400.p01","RmaAA338_18450.p01"
"RmaAA213_18410","","UDP-N-acetyl-D-glucosamine dehydrogenase","4","4","1","1","1343","1","1153","","1322","1322","1322","179fc4b66b5fe7c86a05d012dd5a340c_7093","2124b6b02b7cef79fdc244b38ecf46bc_4629","RmaAA213_18410.p01","RmaAA338_18460.p01"
"Rmar_1682","","patatin","4","4","1","1","1336","1","1146","","887","953","936","179fc4b66b5fe7c86a05d012dd5a340c_7121","2124b6b02b7cef79fdc244b38ecf46bc_4601","RmaAA213_18480.p01","RmaAA338_18520.p01"
"RmaAA213_18520","","hypothetical protein","4","4","1","1","1332","1","1142","","1328","1328","1328","179fc4b66b5fe7c86a05d012dd5a340c_7139","2124b6b02b7cef79fdc244b38ecf46bc_4585","RmaAA213_18520.p01","RmaAA338_18560.p01"
"RmaAA338_08250","","hypothetical protein","4","4","1","1","2369","1","2910","","362","368","366","179fc4b66b5fe7c86a05d012dd5a340c_3398","2124b6b02b7cef79fdc244b38ecf46bc_8574","RmaAA213_08280.p01","RmaAA338_08250.p01"
"Rmar_1692","","hypothetical protein","4","4","1","1","1326","1","1136","","284","284","284","179fc4b66b5fe7c86a05d012dd5a340c_7166","2124b6b02b7cef79fdc244b38ecf46bc_4558","RmaAA213_18580.p01","RmaAA338_18620.p01"
"RmaAA213_18630","","histidine kinase","4","4","1","1","1321","1","1131","","1493","1517","1499","179fc4b66b5fe7c86a05d012dd5a340c_7186","2124b6b02b7cef79fdc244b38ecf46bc_4538","RmaAA213_18630.p01","RmaAA338_18670.p01"
"rsgA","","putative ribosome biogenesis GTPase RsgA","4","4","1","1","1316","1","1126","","959","959","959","179fc4b66b5fe7c86a05d012dd5a340c_7206","2124b6b02b7cef79fdc244b38ecf46bc_4518","RmaAA213_18680.p01","RmaAA338_18720.p01"
"Rmar_1703","","hypothetical protein","4","4","1","1","1315","1","1125","","4040","4046","4043","179fc4b66b5fe7c86a05d012dd5a340c_7211","2124b6b02b7cef79fdc244b38ecf46bc_4514","RmaAA213_18690.p01","RmaAA338_18730.p01"
