"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000145615.1","GCA_000189775.3","GCA_000307585.2","GCA_000328545.1","GCA_002250075.1"
"Tthe_2107","","phosphoribosylamine--glycine ligase","3","3","1","","","","","","1250","1250","1250","ad4372dd6c0e02f4056d5abcc058849f_8391","","","5840733bfae2da7714a13ada5e214277_8653","Thert_00560.p01"
"Thethe_02190","","amidophosphoribosyltransferase","3","3","1","","","","","","1397","1397","1397","ad4372dd6c0e02f4056d5abcc058849f_8407","","","5840733bfae2da7714a13ada5e214277_8669","Thert_00566.p01"
"Thethe_02191","","phosphoribosylaminoimidazole-succinocarboxamide synthase","3","3","1","","","","","","707","707","707","ad4372dd6c0e02f4056d5abcc058849f_8411","","","5840733bfae2da7714a13ada5e214277_8673","Thert_00567.p01"
"Thethe_02198","","hypothetical protein","3","3","1","","","","","","1037","1037","1037","ad4372dd6c0e02f4056d5abcc058849f_8436","","","5840733bfae2da7714a13ada5e214277_8701","Thert_00607.p01"
"Tthe_2122","","hypothetical protein","3","3","1","","","","","","116","116","116","ad4372dd6c0e02f4056d5abcc058849f_8448","","","5840733bfae2da7714a13ada5e214277_8714","Thert_00611.p01"
"Thethe_02203","","hypothetical protein","3","3","1","","","","","","524","524","524","ad4372dd6c0e02f4056d5abcc058849f_8456","","","5840733bfae2da7714a13ada5e214277_8722","Thert_00615.p01"
"Thethe_02204","","ABC-type uncharacterized transport system, ATPase component","3","3","1","","","","","","791","791","791","ad4372dd6c0e02f4056d5abcc058849f_8460","","","5840733bfae2da7714a13ada5e214277_8726","Thert_00616.p01"
"Thert_00617","","inner-membrane translocator","3","3","1","","","","","","860","860","860","ad4372dd6c0e02f4056d5abcc058849f_8464","","","5840733bfae2da7714a13ada5e214277_8730","Thert_00617.p01"
"Tthe_2127","","protein of unknown function DUF534","3","3","1","","","","","","989","989","989","ad4372dd6c0e02f4056d5abcc058849f_8469","","","5840733bfae2da7714a13ada5e214277_8735","Thert_00618.p01"
"Thert_00331","","N-acylglucosamine 2-epimerase","3","3","1","","","","","","1178","1184","1181","ad4372dd6c0e02f4056d5abcc058849f_7650","","","5840733bfae2da7714a13ada5e214277_7712","Thert_00331.p01"
"Thethe_02216","","hypothetical protein","3","3","1","","","","","","164","164","164","ad4372dd6c0e02f4056d5abcc058849f_8522","","","5840733bfae2da7714a13ada5e214277_8776","Thert_00631.p01"
"Thert_00635","","DNA-(apurinic or apyrimidinic site) lyase","3","3","1","","","","","","911","911","911","ad4372dd6c0e02f4056d5abcc058849f_8539","","","5840733bfae2da7714a13ada5e214277_8793","Thert_00635.p01"
"Thert_00638","","histidine kinase","3","3","1","","","","","","851","851","851","ad4372dd6c0e02f4056d5abcc058849f_8547","","","5840733bfae2da7714a13ada5e214277_8801","Thert_00638.p01"
"Thethe_02224","","two component transcriptional regulator, LytTR family","3","3","1","","","","","","731","731","731","ad4372dd6c0e02f4056d5abcc058849f_8551","","","5840733bfae2da7714a13ada5e214277_8805","Thert_00639.p01"
"Thethe_02225","","natural resistance-associated macrophage protein","3","3","1","","","","","","1268","1268","1268","ad4372dd6c0e02f4056d5abcc058849f_8555","","","5840733bfae2da7714a13ada5e214277_8809","Thert_00640.p01"
"Tsac_2332","","short-chain dehydrogenase/reductase SDR","3","3","1","","","","","","701","701","701","ad4372dd6c0e02f4056d5abcc058849f_7662","","Tsac_2332.p01","5840733bfae2da7714a13ada5e214277_7725",""
"Tthe_2150","","AT-rich DNA-binding protein","3","3","1","","","","","","659","659","659","ad4372dd6c0e02f4056d5abcc058849f_8559","","","5840733bfae2da7714a13ada5e214277_8813","Thert_00641.p01"
"Tthe_2151","","OmpA/MotB domain protein","3","3","1","","","","","","722","722","722","ad4372dd6c0e02f4056d5abcc058849f_8562","","","5840733bfae2da7714a13ada5e214277_8818","Thert_00642.p01"
"Thethe_02228","","MotA/TolQ/ExbB proton channel","3","3","1","","","","","","812","812","812","ad4372dd6c0e02f4056d5abcc058849f_8566","","","5840733bfae2da7714a13ada5e214277_8823","Thert_00643.p01"
"Thethe_02229","","thiamine ABC transporter substrate-binding protein","3","3","1","","","","","","1892","1892","1892","ad4372dd6c0e02f4056d5abcc058849f_8569","","","5840733bfae2da7714a13ada5e214277_8827","Thert_00645.p01"
"Thert_00646","","phosphoglycerate dehydrogenase","3","3","1","","","","","","950","950","950","ad4372dd6c0e02f4056d5abcc058849f_8573","","","5840733bfae2da7714a13ada5e214277_8831","Thert_00646.p01"
"Tthe_2155","","tRNA threonylcarbamoyladenosine modification protein","3","3","1","","","","","","1013","1013","1013","ad4372dd6c0e02f4056d5abcc058849f_8577","","","5840733bfae2da7714a13ada5e214277_8835","Thert_00647.p01"
"Tthe_2156","","ribosomal-protein-alanine acetyltransferase","3","3","1","","","","","","446","446","446","ad4372dd6c0e02f4056d5abcc058849f_8581","","","5840733bfae2da7714a13ada5e214277_8839","Thert_00648.p01"
"Tthe_2160","","carbamate kinase","3","3","1","","","","","","956","956","956","ad4372dd6c0e02f4056d5abcc058849f_8598","","","5840733bfae2da7714a13ada5e214277_8856","Thert_00652.p01"
"Thert_00653","","ornithine carbamoyltransferase","3","3","1","","","","","","941","941","941","ad4372dd6c0e02f4056d5abcc058849f_8602","","","5840733bfae2da7714a13ada5e214277_8860","Thert_00653.p01"
"Thexy_0927","","anaerobic ribonucleoside-triphosphate reductase","3","3","1","1","927","1","2100","","2078","2078","2078","ad4372dd6c0e02f4056d5abcc058849f_7673","af9d275dc4cc622cb84d6cc9ce503ea4_3884","Tsac_2335.p01","",""
"Thert_00654","","amidohydrolase","3","3","1","","","","","","1157","1157","1157","ad4372dd6c0e02f4056d5abcc058849f_8606","","","5840733bfae2da7714a13ada5e214277_8864","Thert_00654.p01"
"Thethe_02239","","snare associated golgi protein","3","3","1","","","","","","677","689","681","ad4372dd6c0e02f4056d5abcc058849f_8611","","","5840733bfae2da7714a13ada5e214277_8869","Thert_00655.p01"
"Thert_00657","","Tex-like protein protein-like protein","3","3","1","","","","","","2138","2138","2138","ad4372dd6c0e02f4056d5abcc058849f_8618","","","5840733bfae2da7714a13ada5e214277_8877","Thert_00657.p01"
"Thethe_02246","","hypothetical protein","3","3","1","","","","","","563","563","563","ad4372dd6c0e02f4056d5abcc058849f_8640","","","5840733bfae2da7714a13ada5e214277_8894","Thert_00663.p01"
"Tthe_2172","","hypothetical protein","3","3","1","","","","","","641","641","641","ad4372dd6c0e02f4056d5abcc058849f_8648","","","5840733bfae2da7714a13ada5e214277_8902","Thert_00666.p01"
"Thert_00667","","ribosomal subunit interface protein","3","3","1","","","","","","539","539","539","ad4372dd6c0e02f4056d5abcc058849f_8652","","","5840733bfae2da7714a13ada5e214277_8906","Thert_00667.p01"
"Thethe_02255","","flagellar biosynthetic protein FliS","3","3","1","","","","","","386","386","386","ad4372dd6c0e02f4056d5abcc058849f_8677","","","5840733bfae2da7714a13ada5e214277_8932","Thert_00674.p01"
"Tthe_2181","","flagellar protein","3","3","1","","","","","","329","329","329","ad4372dd6c0e02f4056d5abcc058849f_8685","","","5840733bfae2da7714a13ada5e214277_8940","Thert_00676.p01"
"Thert_00343","","cation transport ATPase","3","3","1","","","","","","806","2777","2119","ad4372dd6c0e02f4056d5abcc058849f_7689","","","5840733bfae2da7714a13ada5e214277_7753","Thert_00343.p01"
"Tthe_2200","","atpase AAA","3","3","1","","","","","","2213","2213","2213","ad4372dd6c0e02f4056d5abcc058849f_8761","","","5840733bfae2da7714a13ada5e214277_9009","Thert_00706.p01"
"Thethe_02275","","hypothetical protein","3","3","1","","","","","","572","572","572","ad4372dd6c0e02f4056d5abcc058849f_8765","","","5840733bfae2da7714a13ada5e214277_9013","Thert_00707.p01"
"Tthe_2205","","thioredoxin peroxidase","3","3","1","","","","","","500","500","500","ad4372dd6c0e02f4056d5abcc058849f_8781","","","5840733bfae2da7714a13ada5e214277_9029","Thert_00712.p01"
"Thethe_02287","","sporulation protein","3","3","1","","","","","","1454","1454","1454","ad4372dd6c0e02f4056d5abcc058849f_8811","","","5840733bfae2da7714a13ada5e214277_9061","Thert_00716.p01"
"Tthe_2212","","response regulator with CheY-like receiver domain and winged-helix DNA-binding domain","3","3","1","","","","","","677","677","677","ad4372dd6c0e02f4056d5abcc058849f_8819","","","5840733bfae2da7714a13ada5e214277_9069","Thert_00718.p01"
"Thethe_02290","","N-acetylglucosamine-6-phosphate deacetylase","3","3","1","","","","","","1142","1142","1142","ad4372dd6c0e02f4056d5abcc058849f_8823","","","5840733bfae2da7714a13ada5e214277_9073","Thert_00719.p01"
"Thert_00721","","hypothetical protein","3","3","1","","","","","","134","134","134","ad4372dd6c0e02f4056d5abcc058849f_8831","","","5840733bfae2da7714a13ada5e214277_9082","Thert_00721.p01"
"Thert_00723","","Cof-like hydrolase","3","3","1","","","","","","821","821","821","ad4372dd6c0e02f4056d5abcc058849f_8835","","","5840733bfae2da7714a13ada5e214277_9086","Thert_00723.p01"
"Thethe_02305","","tyrosyl-tRNA synthetase","3","3","1","","","","","","1217","1217","1217","ad4372dd6c0e02f4056d5abcc058849f_8876","","","5840733bfae2da7714a13ada5e214277_9138","Thert_00738.p01"
"Thethe_02313","","methyl-accepting chemotaxis protein","3","3","1","","","","","","1646","1646","1646","ad4372dd6c0e02f4056d5abcc058849f_8896","","","5840733bfae2da7714a13ada5e214277_9172","Thert_00746.p01"
"Tthe_2232","","pyrimidine-nucleoside phosphorylase","3","3","1","","","","","","1295","1295","1295","ad4372dd6c0e02f4056d5abcc058849f_8900","","","5840733bfae2da7714a13ada5e214277_9176","Thert_00748.p01"
"Thert_00749","","phosphopentomutase","3","3","1","","","","","","1169","1169","1169","ad4372dd6c0e02f4056d5abcc058849f_8904","","","5840733bfae2da7714a13ada5e214277_9181","Thert_00749.p01"
"Thert_00750","","cytidine deaminase","3","3","1","","","","","","401","401","401","ad4372dd6c0e02f4056d5abcc058849f_8908","","","5840733bfae2da7714a13ada5e214277_9185","Thert_00750.p01"
"Tthe_2235","","GntR family transcriptional regulator","3","3","1","","","","","","722","722","722","ad4372dd6c0e02f4056d5abcc058849f_8912","","","5840733bfae2da7714a13ada5e214277_9189","Thert_00751.p01"
"Tthe_2239","","membrane protein","3","3","1","","","","","","1055","1055","1055","ad4372dd6c0e02f4056d5abcc058849f_8931","","","5840733bfae2da7714a13ada5e214277_9208","Thert_00756.p01"
"Thert_00372","","asparagine synthase (glutamine-hydrolyzing)","3","3","1","","","","","","806","1919","1187","ad4372dd6c0e02f4056d5abcc058849f_7832","","","5840733bfae2da7714a13ada5e214277_7842","Thert_00372.p01"
"Thert_00757","","methenyltetrahydrofolate cyclohydrolase","3","3","1","","","","","","635","635","635","ad4372dd6c0e02f4056d5abcc058849f_8934","","","5840733bfae2da7714a13ada5e214277_9212","Thert_00757.p01"
"Thethe_02323","","glutamate formiminotransferase","3","3","1","","","","","","896","896","896","ad4372dd6c0e02f4056d5abcc058849f_8938","","","5840733bfae2da7714a13ada5e214277_9216","Thert_00758.p01"
"Thert_00759","","hypothetical protein","3","3","1","","","","","","1868","1868","1868","ad4372dd6c0e02f4056d5abcc058849f_8942","","","5840733bfae2da7714a13ada5e214277_9220","Thert_00759.p01"
"Tthe_2245","","putative permease","3","3","1","","","","","","947","947","947","ad4372dd6c0e02f4056d5abcc058849f_8954","","","5840733bfae2da7714a13ada5e214277_9232","Thert_00763.p01"
"Thert_00769","","protein of unknown function DUF125 transmembrane","3","3","1","","","","","","1085","1085","1085","ad4372dd6c0e02f4056d5abcc058849f_8968","","","5840733bfae2da7714a13ada5e214277_9246","Thert_00769.p01"
"Thethe_02331","","membrane protein","3","3","1","","","","","","506","506","506","ad4372dd6c0e02f4056d5abcc058849f_8972","","","5840733bfae2da7714a13ada5e214277_9251","Thert_00772.p01"
"Thert_00773","","heat shock protein DnaJ domain protein","3","3","1","","","","","","611","611","611","ad4372dd6c0e02f4056d5abcc058849f_8976","","","5840733bfae2da7714a13ada5e214277_9255","Thert_00773.p01"
"Thert_00775","","queuosine transporter QueT","3","3","1","","","","","","491","491","491","ad4372dd6c0e02f4056d5abcc058849f_8985","","","5840733bfae2da7714a13ada5e214277_9264","Thert_00775.p01"
"Tthe_2254","","putative nucleic acid-binding protein, contains PIN domain","3","3","1","","","","","","395","395","395","ad4372dd6c0e02f4056d5abcc058849f_8989","","","5840733bfae2da7714a13ada5e214277_9268","Thert_00776.p01"
"Thethe_02338","","adenosylcobinamide kinase","3","3","1","","","","","","572","572","572","ad4372dd6c0e02f4056d5abcc058849f_9001","","","5840733bfae2da7714a13ada5e214277_9280","Thert_00779.p01"
"Thert_00417","","GDSL family lipase/Dockerin-like protein","3","3","1","","","","","","626","626","626","ad4372dd6c0e02f4056d5abcc058849f_7944","","","5840733bfae2da7714a13ada5e214277_8019","Thert_00417.p01"
"Thethe_02343","","cobyric acid synthase CobQ","3","3","1","","","","","","1514","1514","1514","ad4372dd6c0e02f4056d5abcc058849f_9022","","","5840733bfae2da7714a13ada5e214277_9302","Thert_00785.p01"
"Tthe_2271","","hypothetical protein","3","3","1","","","","","","440","440","440","ad4372dd6c0e02f4056d5abcc058849f_9062","","","5840733bfae2da7714a13ada5e214277_9341","Thert_00797.p01"
"Thethe_02031","","protein of unknown function DUF633","3","3","1","","","","","","710","740","720","ad4372dd6c0e02f4056d5abcc058849f_7973","","","5840733bfae2da7714a13ada5e214277_8047","Thert_00423.p01"
"Thethe_02362","","hypothetical protein","3","3","1","","","","","","824","824","824","ad4372dd6c0e02f4056d5abcc058849f_9109","","","5840733bfae2da7714a13ada5e214277_9384","Thert_00807.p01"
"Tthe_2023","","RNA polymerase, sigma 54 subunit, RpoN","3","3","1","","","","","","1052","1349","1250","ad4372dd6c0e02f4056d5abcc058849f_8027","","","5840733bfae2da7714a13ada5e214277_8102","Thert_00438.p01"
"Tthe_2295","","methyltransferase family protein","3","3","1","","","","","","734","734","734","ad4372dd6c0e02f4056d5abcc058849f_9160","","","5840733bfae2da7714a13ada5e214277_9449","Thert_00816.p01"
"Thert_00817","","hypothetical protein","3","3","1","","","","","","857","857","857","ad4372dd6c0e02f4056d5abcc058849f_9164","","","5840733bfae2da7714a13ada5e214277_9453","Thert_00817.p01"
"Thethe_02380","","aminotransferase class I and II","3","3","1","","","","","","1166","1166","1166","ad4372dd6c0e02f4056d5abcc058849f_9171","","","5840733bfae2da7714a13ada5e214277_9461","Thert_00820.p01"
"Tthe_2299","","hypothetical protein","3","3","1","","","","","","152","152","152","ad4372dd6c0e02f4056d5abcc058849f_9175","","","5840733bfae2da7714a13ada5e214277_9466","Thert_00821.p01"
"Thert_00827","","periplasmic solute binding protein","3","3","1","","","","","","881","881","881","ad4372dd6c0e02f4056d5abcc058849f_9196","","","5840733bfae2da7714a13ada5e214277_9487","Thert_00827.p01"
"Thethe_02412","","amino acid transporter","3","3","1","","","","","","1394","1406","1402","ad4372dd6c0e02f4056d5abcc058849f_9398","","","5840733bfae2da7714a13ada5e214277_9590","Thert_00878.p01"
"Thethe_02413","","peptide ABC transporter substrate-binding protein","3","3","1","","","","","","1622","1634","1630","ad4372dd6c0e02f4056d5abcc058849f_9403","","","5840733bfae2da7714a13ada5e214277_9595","Thert_00879.p01"
"Thethe_02417","","small, acid-soluble spore protein tlp","3","3","1","","","","","","269","269","269","ad4372dd6c0e02f4056d5abcc058849f_9411","","","5840733bfae2da7714a13ada5e214277_9611","Thert_00884.p01"
"Thert_00476","","BNR/Asp-box repeat protein","3","3","1","","","","","","947","1460","1118","ad4372dd6c0e02f4056d5abcc058849f_8119","","","5840733bfae2da7714a13ada5e214277_8183","Thert_00476.p01"
"Thethe_02420","","leucyl-tRNA synthetase","3","3","1","","","","","","2444","2444","2444","ad4372dd6c0e02f4056d5abcc058849f_9415","","","5840733bfae2da7714a13ada5e214277_9623","Thert_00889.p01"
"Tthe_2366","","putative aminopeptidase","3","3","1","","","","","","1199","1199","1199","ad4372dd6c0e02f4056d5abcc058849f_9423","","","5840733bfae2da7714a13ada5e214277_9631","Thert_00893.p01"
"Thert_00895","","penicillin-binding protein, 1A family","3","3","1","","","","","","2573","2573","2573","ad4372dd6c0e02f4056d5abcc058849f_9427","","","5840733bfae2da7714a13ada5e214277_9636","Thert_00895.p01"
"xylT1","","inner-membrane translocator","3","3","1","","","","","","1160","1160","1160","ad4372dd6c0e02f4056d5abcc058849f_9435","","","5840733bfae2da7714a13ada5e214277_9644","Thert_00898.p01"
"Thethe_02426","","ABC transporter related","3","3","1","","","","","","1517","1517","1517","ad4372dd6c0e02f4056d5abcc058849f_9438","","","5840733bfae2da7714a13ada5e214277_9648","Thert_00899.p01"
"Thethe_02427","","xylose ABC transporter substrate-binding protein","3","3","1","","","","","","1103","1106","1105","ad4372dd6c0e02f4056d5abcc058849f_9443","","","5840733bfae2da7714a13ada5e214277_9653","Thert_00900.p01"
"Thert_00905","","integral membrane sensor signal transduction histidine kinase","3","3","1","","","","","","1505","1505","1505","ad4372dd6c0e02f4056d5abcc058849f_9455","","","5840733bfae2da7714a13ada5e214277_9666","Thert_00905.p01"
"Thert_00907","","conserved hypothetical protein","3","3","1","","","","","","527","527","527","ad4372dd6c0e02f4056d5abcc058849f_9464","","","5840733bfae2da7714a13ada5e214277_9676","Thert_00907.p01"
"Tthe_2382","","2-deoxy-D-gluconate 3-dehydrogenase","3","3","1","","","","","","779","779","779","ad4372dd6c0e02f4056d5abcc058849f_9486","","","5840733bfae2da7714a13ada5e214277_9685","Thert_00914.p01"
"Thethe_02157","","N-acetylmuramoyl-L-alanine amidase","3","3","1","","","","","","1736","1757","1749","ad4372dd6c0e02f4056d5abcc058849f_8274","","","5840733bfae2da7714a13ada5e214277_8530","Thert_00524.p01"
"Thert_00917","","5-keto 4-deoxyuronate isomerase","3","3","1","","","","","","830","830","830","ad4372dd6c0e02f4056d5abcc058849f_9490","","","5840733bfae2da7714a13ada5e214277_9689","Thert_00917.p01"
"Thert_00918","","transcriptional regulator, LacI family","3","3","1","","","","","","992","992","992","ad4372dd6c0e02f4056d5abcc058849f_9494","","","5840733bfae2da7714a13ada5e214277_9694","Thert_00918.p01"
"Thethe_02438","","6-phosphogluconate dehydrogenase, decarboxylating","3","3","1","","","","","","1406","1406","1406","ad4372dd6c0e02f4056d5abcc058849f_9510","","","5840733bfae2da7714a13ada5e214277_9702","Thert_00922.p01"
"Tthe_2389","","pentulose/hexulose kinase","3","3","1","","","","","","1484","1484","1484","ad4372dd6c0e02f4056d5abcc058849f_9514","","","5840733bfae2da7714a13ada5e214277_9706","Thert_00923.p01"
"Thert_00926","","DeoR family transcriptional regulator","3","3","1","","","","","","761","761","761","ad4372dd6c0e02f4056d5abcc058849f_9526","","","5840733bfae2da7714a13ada5e214277_9718","Thert_00926.p01"
"Thethe_02443","","AP endonuclease","3","3","1","","","","","","836","836","836","ad4372dd6c0e02f4056d5abcc058849f_9530","","","5840733bfae2da7714a13ada5e214277_9722","Thert_00927.p01"
"Thethe_02444","","putative efflux protein, MATE family","3","3","1","","","","","","1337","1337","1337","ad4372dd6c0e02f4056d5abcc058849f_9534","","","5840733bfae2da7714a13ada5e214277_9726","Thert_00928.p01"
"Tthe_2395","","altronate dehydratase","3","3","1","","","","","","1490","1490","1490","ad4372dd6c0e02f4056d5abcc058849f_9538","","","5840733bfae2da7714a13ada5e214277_9730","Thert_00929.p01"
"Thethe_02446","","altronate oxidoreductase","3","3","1","","","","","","1451","1451","1451","ad4372dd6c0e02f4056d5abcc058849f_9542","","","5840733bfae2da7714a13ada5e214277_9734","Thert_00930.p01"
"Tthe_2397","","glycoside hydrolase family 4","3","3","1","","","","","","1358","1358","1358","ad4372dd6c0e02f4056d5abcc058849f_9546","","","5840733bfae2da7714a13ada5e214277_9738","Thert_00931.p01"
"Tthe_2398","","endopolygalacturonase","3","3","1","","","","","","1559","1559","1559","ad4372dd6c0e02f4056d5abcc058849f_9550","","","5840733bfae2da7714a13ada5e214277_9742","Thert_00932.p01"
"Thert_00933","","binding-protein-dependent transport systems inner membrane component","3","3","1","","","","","","905","905","905","ad4372dd6c0e02f4056d5abcc058849f_9554","","","5840733bfae2da7714a13ada5e214277_9746","Thert_00933.p01"
"Thethe_02453","","LacI family transcriptional regulator","3","3","1","","","","","","1001","1001","1001","ad4372dd6c0e02f4056d5abcc058849f_9570","","","5840733bfae2da7714a13ada5e214277_9763","Thert_00937.p01"
"Thert_00938","","glucuronate isomerase","3","3","1","","","","","","1400","1400","1400","ad4372dd6c0e02f4056d5abcc058849f_9574","","","5840733bfae2da7714a13ada5e214277_9767","Thert_00938.p01"
"Thert_00940","","DNA-binding protein","3","3","1","","","","","","428","428","428","ad4372dd6c0e02f4056d5abcc058849f_9590","","","5840733bfae2da7714a13ada5e214277_9775","Thert_00940.p01"
"Tthe_2409","","FAD dependent oxidoreductase","3","3","1","","","","","","1055","1055","1055","ad4372dd6c0e02f4056d5abcc058849f_9594","","","5840733bfae2da7714a13ada5e214277_9779","Thert_00941.p01"
"Tthe_2413","","hypothetical protein","3","3","1","","","","","","575","575","575","ad4372dd6c0e02f4056d5abcc058849f_9611","","","5840733bfae2da7714a13ada5e214277_9804","Thert_00948.p01"
"Tthe_2414","","hypothetical protein","3","3","1","","","","","","734","734","734","ad4372dd6c0e02f4056d5abcc058849f_9615","","","5840733bfae2da7714a13ada5e214277_9809","Thert_00949.p01"
"Thert_00950","","cellulose biosynthesis protein","3","3","1","","","","","","1112","1112","1112","ad4372dd6c0e02f4056d5abcc058849f_9619","","","5840733bfae2da7714a13ada5e214277_9813","Thert_00950.p01"
"Thert_00955","","galactose-1-phosphate uridylyltransferase","3","3","1","","","","","","989","989","989","ad4372dd6c0e02f4056d5abcc058849f_9635","","","5840733bfae2da7714a13ada5e214277_9829","Thert_00955.p01"
"Thethe_02181","","S-ribosylhomocysteinase","3","3","1","","","","","","440","440","440","ad4372dd6c0e02f4056d5abcc058849f_8370","","","5840733bfae2da7714a13ada5e214277_8632","Thert_00555.p01"
"Thethe_02501","","putative transcriptional regulator","3","3","1","","","","","","365","365","365","ad4372dd6c0e02f4056d5abcc058849f_9719","","","5840733bfae2da7714a13ada5e214277_9956","Thert_01017.p01"
"Tthe_2453","","major facilitator superfamily MFS_1","3","3","1","","","","","","1145","1145","1145","ad4372dd6c0e02f4056d5abcc058849f_9765","","","5840733bfae2da7714a13ada5e214277_10030","Thert_01034.p01"
"Thert_01036","","NADH:flavin oxidoreductase/NADH oxidase","3","3","1","","","","","","1997","1997","1997","ad4372dd6c0e02f4056d5abcc058849f_9773","","","5840733bfae2da7714a13ada5e214277_10038","Thert_01036.p01"
"Thethe_02521","","RNA polymerase sigma factor, sigma-70 family","3","3","1","","","","","","506","506","506","ad4372dd6c0e02f4056d5abcc058849f_9777","","","5840733bfae2da7714a13ada5e214277_10042","Thert_01037.p01"
"Tthe_2494","","Alpha/beta hydrolase fold","3","3","1","","","","","","590","590","590","ad4372dd6c0e02f4056d5abcc058849f_9912","","","5840733bfae2da7714a13ada5e214277_10124","Thert_01057.p01"
"Thert_01060","","transcriptional regulator","3","3","1","","","","","","887","893","891","ad4372dd6c0e02f4056d5abcc058849f_9920","","","5840733bfae2da7714a13ada5e214277_10131","Thert_01060.p01"
"Thethe_02561","","flagellar basal-body rod protein FlgF","3","3","1","","","","","","746","746","746","ad4372dd6c0e02f4056d5abcc058849f_9972","","","5840733bfae2da7714a13ada5e214277_10201","Thert_01077.p01"
"Thethe_02562","","cell shape determining protein, MreB/Mrl family","3","3","1","","","","","","1028","1028","1028","ad4372dd6c0e02f4056d5abcc058849f_9976","","","5840733bfae2da7714a13ada5e214277_10205","Thert_01078.p01"
"Thethe_02565","","stage II sporulation protein D","3","3","1","","","","","","1067","1067","1067","ad4372dd6c0e02f4056d5abcc058849f_9988","","","5840733bfae2da7714a13ada5e214277_10218","Thert_01082.p01"
"Tthe_2521","","diguanylate cyclase","3","3","1","","","","","","1394","1394","1394","ad4372dd6c0e02f4056d5abcc058849f_10021","","","5840733bfae2da7714a13ada5e214277_10253","Thert_01092.p01"
"Tthe_2523","","nucleoside phosphorylase","3","3","1","","","","","","821","821","821","ad4372dd6c0e02f4056d5abcc058849f_10029","","","5840733bfae2da7714a13ada5e214277_10261","Thert_01096.p01"
"Tthe_2131","","amino acid/amide ABC transporter ATP-binding protein 1, HAAT family","3","3","1","","","","","","800","809","803","ad4372dd6c0e02f4056d5abcc058849f_8486","","","5840733bfae2da7714a13ada5e214277_8752","Thert_00623.p01"
"Tthe_2524","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","3","3","1","","","","","","1253","1253","1253","ad4372dd6c0e02f4056d5abcc058849f_10033","","","5840733bfae2da7714a13ada5e214277_10266","Thert_01097.p01"
"Thethe_02577","","Protein of unknown function DUF1779","3","3","1","","","","","","752","752","752","ad4372dd6c0e02f4056d5abcc058849f_10037","","","5840733bfae2da7714a13ada5e214277_10271","Thert_01098.p01"
"Tthe_2531","","protein tyrosine phosphatase","3","3","1","","","","","","440","440","440","ad4372dd6c0e02f4056d5abcc058849f_10061","","","5840733bfae2da7714a13ada5e214277_10297","Thert_01113.p01"
"Thert_01114","","Sua5/YciO/YrdC/YwlC family protein","3","3","1","","","","","","1049","1049","1049","ad4372dd6c0e02f4056d5abcc058849f_10065","","","5840733bfae2da7714a13ada5e214277_10301","Thert_01114.p01"
"Thert_01115","","putative divalent heavy-metal cations transporter","3","3","1","","","","","","719","719","719","ad4372dd6c0e02f4056d5abcc058849f_10069","","","5840733bfae2da7714a13ada5e214277_10306","Thert_01115.p01"
"Thert_01116","","peptide chain release factor 1","3","3","1","","","","","","1061","1061","1061","ad4372dd6c0e02f4056d5abcc058849f_10073","","","5840733bfae2da7714a13ada5e214277_10310","Thert_01116.p01"
"Tthe_2536","","membrane protein","3","3","1","","","","","","926","926","926","ad4372dd6c0e02f4056d5abcc058849f_10081","","","5840733bfae2da7714a13ada5e214277_10318","Thert_01119.p01"
"Thert_01133","","ABC-type multidrug transport system, ATPase and permease component","3","3","1","","","","","","1784","1784","1784","ad4372dd6c0e02f4056d5abcc058849f_10119","","","5840733bfae2da7714a13ada5e214277_10373","Thert_01133.p01"
"Thethe_02602","","ABC transporter","3","3","1","","","","","","1748","1748","1748","ad4372dd6c0e02f4056d5abcc058849f_10123","","","5840733bfae2da7714a13ada5e214277_10378","Thert_01134.p01"
"Thethe_02603","","YgiT-type zinc finger domain protein","3","3","1","","","","","","233","233","233","ad4372dd6c0e02f4056d5abcc058849f_10127","","","5840733bfae2da7714a13ada5e214277_10382","Thert_01135.p01"
"Thert_00662","","3H domain protein","3","3","1","","","","","","512","512","512","ad4372dd6c0e02f4056d5abcc058849f_8636","","","5840733bfae2da7714a13ada5e214277_8890","Thert_00662.p01"
"Thert_01138","","PTS system D-fructose-specific IICB component","3","3","1","","","","","","1358","1358","1358","ad4372dd6c0e02f4056d5abcc058849f_10136","","","5840733bfae2da7714a13ada5e214277_10390","Thert_01138.p01"
"Thethe_02607","","fructose 1-phosphate kinase","3","3","1","","","","","","923","935","931","ad4372dd6c0e02f4056d5abcc058849f_10144","","","5840733bfae2da7714a13ada5e214277_10398","Thert_01140.p01"
"Thert_01141","","DeoR family transcriptional regulator","3","3","1","","","","","","824","824","824","ad4372dd6c0e02f4056d5abcc058849f_10148","","","5840733bfae2da7714a13ada5e214277_10402","Thert_01141.p01"
"Thethe_02610","","oligosaccharyl transferase, STT3 subunit","3","3","1","","","","","","1184","1184","1184","ad4372dd6c0e02f4056d5abcc058849f_10155","","","5840733bfae2da7714a13ada5e214277_10411","Thert_01143.p01"
