"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001399775.1","GCA_018771645.1","GCA_028472205.1"
"tsaE","","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","2","2","1","1","1204","1","1536","","470","470","470","","1a7f36f5a39ec6a4fe158fba3bbbf404_4664","1147bcd2e8bc16dabca75e70b6a67ef2_7987"
"KNN15_05960","","cytochrome c3 family protein","2","2","1","1","1205","1","1537","","635","635","635","","1a7f36f5a39ec6a4fe158fba3bbbf404_4673","1147bcd2e8bc16dabca75e70b6a67ef2_7980"
"GO600_10210","","4Fe-4S dicluster domain-containing protein","2","2","1","1","1206","1","1538","","2639","2639","2639","","1a7f36f5a39ec6a4fe158fba3bbbf404_4677","1147bcd2e8bc16dabca75e70b6a67ef2_7976"
"nrfD","","polysulfide reductase NrfD","2","2","1","1","1207","1","1539","","1352","1352","1352","","1a7f36f5a39ec6a4fe158fba3bbbf404_4681","1147bcd2e8bc16dabca75e70b6a67ef2_7972"
"KNN15_05975","","DUF3341 domain-containing protein","2","2","1","1","1208","1","1540","","518","518","518","","1a7f36f5a39ec6a4fe158fba3bbbf404_4685","1147bcd2e8bc16dabca75e70b6a67ef2_7968"
"GO600_06320","","M20 family metallopeptidase","2","2","1","1","1941","1","1205","","1157","1157","1157","","1a7f36f5a39ec6a4fe158fba3bbbf404_8265","1147bcd2e8bc16dabca75e70b6a67ef2_4944"
"GO600_10190","","hypothetical protein","2","2","1","1","1210","1","1542","","1004","1004","1004","","1a7f36f5a39ec6a4fe158fba3bbbf404_4693","1147bcd2e8bc16dabca75e70b6a67ef2_7960"
"GO600_10185","","sulfide dehydrogenase","2","2","1","1","1211","1","1543","","1136","1136","1136","","1a7f36f5a39ec6a4fe158fba3bbbf404_4697","1147bcd2e8bc16dabca75e70b6a67ef2_7956"
"KNN15_06000","","diguanylate cyclase","2","2","1","1","1213","1","1545","","1610","1610","1610","","1a7f36f5a39ec6a4fe158fba3bbbf404_4705","1147bcd2e8bc16dabca75e70b6a67ef2_7948"
"GO600_10170","","[LysW]-lysine hydrolase","2","2","1","1","1214","1","1546","","1088","1088","1088","","1a7f36f5a39ec6a4fe158fba3bbbf404_4709","1147bcd2e8bc16dabca75e70b6a67ef2_7944"
"GO600_10165","","aspartate aminotransferase family protein","2","2","1","1","1215","1","1547","","1196","1196","1196","","1a7f36f5a39ec6a4fe158fba3bbbf404_4713","1147bcd2e8bc16dabca75e70b6a67ef2_7940"
"trxA","","thioredoxin","2","2","1","1","1218","1","1550","","332","332","332","","1a7f36f5a39ec6a4fe158fba3bbbf404_4725","1147bcd2e8bc16dabca75e70b6a67ef2_7928"
"KNN15_06035","","archease","2","2","1","1","1220","1","1552","","419","419","419","","1a7f36f5a39ec6a4fe158fba3bbbf404_4733","1147bcd2e8bc16dabca75e70b6a67ef2_7920"
"KNN15_06050","","S8 family peptidase","2","2","1","1","1222","1","1554","","1214","1214","1214","","1a7f36f5a39ec6a4fe158fba3bbbf404_4744","1147bcd2e8bc16dabca75e70b6a67ef2_7909"
"pyrF","","orotidine-5'-phosphate decarboxylase","2","2","1","1","1224","1","1556","","773","773","773","","1a7f36f5a39ec6a4fe158fba3bbbf404_4748","1147bcd2e8bc16dabca75e70b6a67ef2_7901"
"GO600_06300","","alpha-amylase","2","2","1","1","1945","1","1201","","2138","2138","2138","","1a7f36f5a39ec6a4fe158fba3bbbf404_8281","1147bcd2e8bc16dabca75e70b6a67ef2_4928"
"GO600_10110","","orotate phosphoribosyltransferase","2","2","1","1","1225","1","1557","","551","551","551","","1a7f36f5a39ec6a4fe158fba3bbbf404_4752","1147bcd2e8bc16dabca75e70b6a67ef2_7897"
"GO600_10105","","hypothetical protein","2","2","1","1","1226","1","1558","","1004","1004","1004","","1a7f36f5a39ec6a4fe158fba3bbbf404_4756","1147bcd2e8bc16dabca75e70b6a67ef2_7893"
"KNN15_06070","","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase","2","2","1","1","1227","1","1559","","968","968","968","","1a7f36f5a39ec6a4fe158fba3bbbf404_4760","1147bcd2e8bc16dabca75e70b6a67ef2_7889"
"KNN15_06075","","Uma2 family endonuclease","2","2","1","1","1228","1","1560","","542","542","542","","1a7f36f5a39ec6a4fe158fba3bbbf404_4764","1147bcd2e8bc16dabca75e70b6a67ef2_7885"
"GO600_10090","","alpha/beta fold hydrolase","2","2","1","1","1229","1","1561","","710","710","710","","1a7f36f5a39ec6a4fe158fba3bbbf404_4768","1147bcd2e8bc16dabca75e70b6a67ef2_7881"
"KNN15_06085","","hypothetical protein","2","2","1","1","1230","1","1562","","203","203","203","","1a7f36f5a39ec6a4fe158fba3bbbf404_4772","1147bcd2e8bc16dabca75e70b6a67ef2_7877"
"GO600_10080","","SUF system NifU family Fe-S cluster assembly protein","2","2","1","1","1231","1","1563","","416","416","416","","1a7f36f5a39ec6a4fe158fba3bbbf404_4776","1147bcd2e8bc16dabca75e70b6a67ef2_7873"
"sufS","","cysteine desulfurase","2","2","1","1","1232","1","1564","","1214","1214","1214","","1a7f36f5a39ec6a4fe158fba3bbbf404_4780","1147bcd2e8bc16dabca75e70b6a67ef2_7869"
"GO600_10065","","multicopper oxidase family protein","2","2","1","1","1234","1","1566","","1406","1406","1406","","1a7f36f5a39ec6a4fe158fba3bbbf404_4788","1147bcd2e8bc16dabca75e70b6a67ef2_7861"
"KNN15_11065","","acyl-CoA thioesterase","2","2","1","1","1985","1","1161","","365","380","372","","1a7f36f5a39ec6a4fe158fba3bbbf404_8693","1147bcd2e8bc16dabca75e70b6a67ef2_4763"
"KNN15_06120","","hypothetical protein","2","2","1","1","1237","1","1569","","239","239","239","","1a7f36f5a39ec6a4fe158fba3bbbf404_4800","1147bcd2e8bc16dabca75e70b6a67ef2_7849"
"GO600_10040","","methyltransferase domain-containing protein","2","2","1","1","1239","1","1571","","620","620","620","","1a7f36f5a39ec6a4fe158fba3bbbf404_4808","1147bcd2e8bc16dabca75e70b6a67ef2_7841"
"KNN15_06135","","S-layer protein","2","2","1","1","1240","1","1572","","758","758","758","","1a7f36f5a39ec6a4fe158fba3bbbf404_4812","1147bcd2e8bc16dabca75e70b6a67ef2_7837"
"KNN15_06140","","CueP family metal-binding protein","2","2","1","1","1241","1","1573","","515","515","515","","1a7f36f5a39ec6a4fe158fba3bbbf404_4816","1147bcd2e8bc16dabca75e70b6a67ef2_7833"
"GO600_10025","","HAMP domain-containing protein","2","2","1","1","1242","1","1574","","1121","1121","1121","","1a7f36f5a39ec6a4fe158fba3bbbf404_4820","1147bcd2e8bc16dabca75e70b6a67ef2_7829"
"KNN15_06150","","response regulator transcription factor","2","2","1","1","1243","1","1575","","677","677","677","","1a7f36f5a39ec6a4fe158fba3bbbf404_4824","1147bcd2e8bc16dabca75e70b6a67ef2_7825"
"KNN15_06155","","hypothetical protein","2","2","1","1","1244","1","1576","","212","212","212","","1a7f36f5a39ec6a4fe158fba3bbbf404_4828","1147bcd2e8bc16dabca75e70b6a67ef2_7821"
"cadA","","cadmium-translocating P-type ATPase","2","2","1","1","1245","1","1577","","2375","2375","2375","","1a7f36f5a39ec6a4fe158fba3bbbf404_4832","1147bcd2e8bc16dabca75e70b6a67ef2_7817"
"KNN15_06165","","metal-sensitive transcriptional regulator","2","2","1","1","1246","1","1578","","284","284","284","","1a7f36f5a39ec6a4fe158fba3bbbf404_4836","1147bcd2e8bc16dabca75e70b6a67ef2_7813"
"KNN15_06170","","heavy metal-binding protein","2","2","1","1","1247","1","1579","","200","200","200","","1a7f36f5a39ec6a4fe158fba3bbbf404_4840","1147bcd2e8bc16dabca75e70b6a67ef2_7809"
"paaJ","","phenylacetate-CoA oxygenase subunit PaaJ","2","2","1","1","2011","1","1135","","455","512","483","","1a7f36f5a39ec6a4fe158fba3bbbf404_8729","1147bcd2e8bc16dabca75e70b6a67ef2_4658"
"GO600_09995","","Rieske 2Fe-2S domain-containing protein","2","2","1","1","1248","1","1580","","302","302","302","","1a7f36f5a39ec6a4fe158fba3bbbf404_4844","1147bcd2e8bc16dabca75e70b6a67ef2_7805"
"sufD","","Fe-S cluster assembly protein SufD","2","2","1","1","1249","1","1581","","1292","1292","1292","","1a7f36f5a39ec6a4fe158fba3bbbf404_4848","1147bcd2e8bc16dabca75e70b6a67ef2_7801"
"aceA","","isocitrate lyase","2","2","1","1","1251","1","1583","","1307","1316","1311","","1a7f36f5a39ec6a4fe158fba3bbbf404_4864","1147bcd2e8bc16dabca75e70b6a67ef2_7789"
"KNN15_06205","","FAD-dependent oxidoreductase","2","2","1","1","1252","1","1584","","1331","1331","1331","","1a7f36f5a39ec6a4fe158fba3bbbf404_4868","1147bcd2e8bc16dabca75e70b6a67ef2_7785"
"KNN15_06210","","ABC transporter ATP-binding protein","2","2","1","1","1253","1","1585","","689","689","689","","1a7f36f5a39ec6a4fe158fba3bbbf404_4872","1147bcd2e8bc16dabca75e70b6a67ef2_7781"
"KNN15_06215","","FtsX-like permease family protein","2","2","1","1","1254","1","1586","","1142","1142","1142","","1a7f36f5a39ec6a4fe158fba3bbbf404_4876","1147bcd2e8bc16dabca75e70b6a67ef2_7777"
"KNN15_06220","","NIPSNAP family containing protein","2","2","1","1","1255","1","1587","","275","275","275","","1a7f36f5a39ec6a4fe158fba3bbbf404_4880","1147bcd2e8bc16dabca75e70b6a67ef2_7773"
"GO600_09945","","putative toxin-antitoxin system toxin component, PIN family","2","2","1","1","1256","1","1588","","428","428","428","","1a7f36f5a39ec6a4fe158fba3bbbf404_4884","1147bcd2e8bc16dabca75e70b6a67ef2_7769"
"GO600_09940","","hypothetical protein","2","2","1","1","1257","1","1589","","221","221","221","","1a7f36f5a39ec6a4fe158fba3bbbf404_4888","1147bcd2e8bc16dabca75e70b6a67ef2_7765"
"GO600_05825","","hypothetical protein","2","2","1","1","2038","1","1108","","422","422","422","","1a7f36f5a39ec6a4fe158fba3bbbf404_8849","1147bcd2e8bc16dabca75e70b6a67ef2_4550"
"alaS","","alanine--tRNA ligase","2","2","1","1","1258","1","1590","","2648","2648","2648","","1a7f36f5a39ec6a4fe158fba3bbbf404_4892","1147bcd2e8bc16dabca75e70b6a67ef2_7761"
"KNN15_06240","","hypothetical protein","2","2","1","1","1259","1","1591","","683","683","683","","1a7f36f5a39ec6a4fe158fba3bbbf404_4896","1147bcd2e8bc16dabca75e70b6a67ef2_7757"
"ruvX","","Holliday junction resolvase RuvX","2","2","1","1","1260","1","1592","","407","407","407","","1a7f36f5a39ec6a4fe158fba3bbbf404_4900","1147bcd2e8bc16dabca75e70b6a67ef2_7753"
"KNN15_06255","","sugar ABC transporter permease","2","2","1","1","1262","1","1594","","836","836","836","","1a7f36f5a39ec6a4fe158fba3bbbf404_4908","1147bcd2e8bc16dabca75e70b6a67ef2_7745"
"GO600_09895","","enolase","2","2","1","1","1266","1","1598","","1079","1079","1079","","1a7f36f5a39ec6a4fe158fba3bbbf404_4920","1147bcd2e8bc16dabca75e70b6a67ef2_7729"
"GO600_09890","","HAD-IA family hydrolase","2","2","1","1","1267","1","1599","","626","626","626","","1a7f36f5a39ec6a4fe158fba3bbbf404_4924","1147bcd2e8bc16dabca75e70b6a67ef2_7725"
"GO600_09875","","CinA family nicotinamide mononucleotide deamidase-related protein","2","2","1","1","1270","1","1602","","1184","1184","1184","","1a7f36f5a39ec6a4fe158fba3bbbf404_4934","1147bcd2e8bc16dabca75e70b6a67ef2_7713"
"GO600_09855","","DUF433 domain-containing protein","2","2","1","1","1274","1","1606","","218","218","218","","1a7f36f5a39ec6a4fe158fba3bbbf404_4950","1147bcd2e8bc16dabca75e70b6a67ef2_7697"
"KNN15_06315","","DUF5615 family PIN-like protein","2","2","1","1","1275","1","1607","","362","362","362","","1a7f36f5a39ec6a4fe158fba3bbbf404_4954","1147bcd2e8bc16dabca75e70b6a67ef2_7693"
"GO600_05810","","hypothetical protein","2","2","1","1","2041","1","1105","","1565","1565","1565","","1a7f36f5a39ec6a4fe158fba3bbbf404_8861","1147bcd2e8bc16dabca75e70b6a67ef2_4538"
"GO600_09825","","RNA-binding protein","2","2","1","1","1280","1","1612","","638","638","638","","1a7f36f5a39ec6a4fe158fba3bbbf404_4966","1147bcd2e8bc16dabca75e70b6a67ef2_7673"
"KNN15_06335","","DNA-directed RNA polymerase subunit beta","2","2","1","1","1281","1","1613","","3359","3359","3359","","1a7f36f5a39ec6a4fe158fba3bbbf404_4970","1147bcd2e8bc16dabca75e70b6a67ef2_7669"
"GO600_09815","","DNA-directed RNA polymerase subunit beta'","2","2","1","1","1282","1","1614","","4577","4577","4577","","1a7f36f5a39ec6a4fe158fba3bbbf404_4974","1147bcd2e8bc16dabca75e70b6a67ef2_7665"
"GO600_09735","","acyl-CoA thioesterase","2","2","1","1","1298","1","1630","","359","359","359","","1a7f36f5a39ec6a4fe158fba3bbbf404_5011","1147bcd2e8bc16dabca75e70b6a67ef2_7600"
"GO600_09730","","4a-hydroxytetrahydrobiopterin dehydratase","2","2","1","1","1299","1","1631","","239","239","239","","1a7f36f5a39ec6a4fe158fba3bbbf404_5015","1147bcd2e8bc16dabca75e70b6a67ef2_7596"
"polX","","DNA polymerase/3'-5' exonuclease PolX","2","2","1","1","2043","1","1103","","1727","1727","1727","","1a7f36f5a39ec6a4fe158fba3bbbf404_8869","1147bcd2e8bc16dabca75e70b6a67ef2_4530"
"KNN15_06430","","GNAT family N-acetyltransferase","2","2","1","1","1302","1","1634","","551","551","551","","1a7f36f5a39ec6a4fe158fba3bbbf404_5044","1147bcd2e8bc16dabca75e70b6a67ef2_7581"
"KNN15_06445","","ATP-binding cassette domain-containing protein","2","2","1","1","1305","1","1637","","881","881","881","","1a7f36f5a39ec6a4fe158fba3bbbf404_5056","1147bcd2e8bc16dabca75e70b6a67ef2_7569"
"GO600_09675","","CDGSH iron-sulfur domain-containing protein","2","2","1","1","1309","1","1641","","203","203","203","","1a7f36f5a39ec6a4fe158fba3bbbf404_5072","1147bcd2e8bc16dabca75e70b6a67ef2_7553"
"KNN15_06485","","AAA family ATPase","2","2","1","1","1311","1","1643","","2096","2096","2096","","1a7f36f5a39ec6a4fe158fba3bbbf404_5088","1147bcd2e8bc16dabca75e70b6a67ef2_7545"
"KNN15_11365","","3-hydroxyacyl-CoA dehydrogenase","2","2","1","1","2058","1","1088","","2291","2291","2291","","1a7f36f5a39ec6a4fe158fba3bbbf404_8929","1147bcd2e8bc16dabca75e70b6a67ef2_4470"
"glgC","","glucose-1-phosphate adenylyltransferase","2","2","1","1","1312","1","1644","","1244","1244","1244","","1a7f36f5a39ec6a4fe158fba3bbbf404_5092","1147bcd2e8bc16dabca75e70b6a67ef2_7541"
"KNN15_06495","","glucose-1-phosphate adenylyltransferase","2","2","1","1","1313","1","1645","","686","686","686","","1a7f36f5a39ec6a4fe158fba3bbbf404_5096","1147bcd2e8bc16dabca75e70b6a67ef2_7537"
"GO600_09650","","response regulator transcription factor","2","2","1","1","1314","1","1646","","674","674","674","","1a7f36f5a39ec6a4fe158fba3bbbf404_5100","1147bcd2e8bc16dabca75e70b6a67ef2_7533"
"GO600_09645","","gamma-glutamylcyclotransferase","2","2","1","1","1315","1","1647","","371","371","371","","1a7f36f5a39ec6a4fe158fba3bbbf404_5104","1147bcd2e8bc16dabca75e70b6a67ef2_7529"
"GO600_09640","","PIN domain-containing protein","2","2","1","1","1316","1","1648","","437","437","437","","1a7f36f5a39ec6a4fe158fba3bbbf404_5108","1147bcd2e8bc16dabca75e70b6a67ef2_7525"
"GO600_09635","","type II toxin-antitoxin system prevent-host-death family antitoxin","2","2","1","1","1317","1","1649","","263","263","263","","1a7f36f5a39ec6a4fe158fba3bbbf404_5112","1147bcd2e8bc16dabca75e70b6a67ef2_7521"
"KNN15_06525","","tetratricopeptide repeat protein","2","2","1","1","1318","1","1650","","644","644","644","","1a7f36f5a39ec6a4fe158fba3bbbf404_5120","1147bcd2e8bc16dabca75e70b6a67ef2_7515"
"dusA","","tRNA dihydrouridine(20/20a) synthase DusA","2","2","1","1","1319","1","1651","","1034","1034","1034","","1a7f36f5a39ec6a4fe158fba3bbbf404_5124","1147bcd2e8bc16dabca75e70b6a67ef2_7511"
"ispH","","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","2","2","1","1","1320","1","1652","","1025","1025","1025","","1a7f36f5a39ec6a4fe158fba3bbbf404_5128","1147bcd2e8bc16dabca75e70b6a67ef2_7507"
"KNN15_11395","","MFS transporter","2","2","1","1","2065","1","1081","","1166","1166","1166","","1a7f36f5a39ec6a4fe158fba3bbbf404_8953","1147bcd2e8bc16dabca75e70b6a67ef2_4442"
"KNN15_06540","","hypothetical protein","2","2","1","1","1321","1","1653","","596","596","596","","1a7f36f5a39ec6a4fe158fba3bbbf404_5132","1147bcd2e8bc16dabca75e70b6a67ef2_7503"
"KNN15_06545","","hypothetical protein","2","2","1","1","1322","1","1654","","191","191","191","","1a7f36f5a39ec6a4fe158fba3bbbf404_5136","1147bcd2e8bc16dabca75e70b6a67ef2_7499"
"GO600_09595","","DMT family transporter","2","2","1","1","1324","1","1656","","830","830","830","","1a7f36f5a39ec6a4fe158fba3bbbf404_5144","1147bcd2e8bc16dabca75e70b6a67ef2_7491"
"moaA","","GTP 3',8-cyclase MoaA","2","2","1","1","1325","1","1657","","977","977","977","","1a7f36f5a39ec6a4fe158fba3bbbf404_5148","1147bcd2e8bc16dabca75e70b6a67ef2_7487"
"gatC","","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC","2","2","1","1","2069","1","1077","","269","278","273","","1a7f36f5a39ec6a4fe158fba3bbbf404_8969","1147bcd2e8bc16dabca75e70b6a67ef2_4426"
"GO600_05650","","amidohydrolase family protein","2","2","1","1","2073","1","1073","","1109","1109","1109","","1a7f36f5a39ec6a4fe158fba3bbbf404_8985","1147bcd2e8bc16dabca75e70b6a67ef2_4410"
"GO600_05640","","PIG-L family deacetylase","2","2","1","1","2075","1","1071","","653","653","653","","1a7f36f5a39ec6a4fe158fba3bbbf404_8993","1147bcd2e8bc16dabca75e70b6a67ef2_4402"
"KNN15_11465","","aldehyde dehydrogenase family protein","2","2","1","1","2077","1","1069","","1589","1592","1590","","1a7f36f5a39ec6a4fe158fba3bbbf404_9009","1147bcd2e8bc16dabca75e70b6a67ef2_4394"
"GO600_05620","","RsmD family RNA methyltransferase","2","2","1","1","2079","1","1067","","515","515","515","","1a7f36f5a39ec6a4fe158fba3bbbf404_9017","1147bcd2e8bc16dabca75e70b6a67ef2_4386"
"metX","","homoserine O-acetyltransferase","2","2","1","1","2083","1","1063","","1142","1142","1142","","1a7f36f5a39ec6a4fe158fba3bbbf404_9033","1147bcd2e8bc16dabca75e70b6a67ef2_4370"
"KNN15_11545","","SPASM domain-containing protein","2","2","1","1","2093","1","1053","","644","1430","1037","","1a7f36f5a39ec6a4fe158fba3bbbf404_9073","1147bcd2e8bc16dabca75e70b6a67ef2_4330"
"ffh","","signal recognition particle protein","2","2","1","1","2119","1","1027","","1304","1304","1304","","1a7f36f5a39ec6a4fe158fba3bbbf404_9185","1147bcd2e8bc16dabca75e70b6a67ef2_4224"
"GO600_09420","","metalloregulator ArsR/SmtB family transcription factor","2","2","1","1","1351","1","1683","","305","305","305","","1a7f36f5a39ec6a4fe158fba3bbbf404_5517","1147bcd2e8bc16dabca75e70b6a67ef2_7367"
"KNN15_11800","","methyltransferase domain-containing protein","2","2","1","1","2142","1","1004","","764","764","764","","1a7f36f5a39ec6a4fe158fba3bbbf404_9273","1147bcd2e8bc16dabca75e70b6a67ef2_4134"
"guaB","","IMP dehydrogenase","2","2","1","1","1352","1","1684","","1484","1484","1484","","1a7f36f5a39ec6a4fe158fba3bbbf404_5521","1147bcd2e8bc16dabca75e70b6a67ef2_7363"
"KNN15_07040","","hypothetical protein","2","2","1","1","1353","1","1685","","230","230","230","","1a7f36f5a39ec6a4fe158fba3bbbf404_5525","1147bcd2e8bc16dabca75e70b6a67ef2_7359"
"KNN15_07045","","hypothetical protein","2","2","1","1","1354","1","1686","","461","461","461","","1a7f36f5a39ec6a4fe158fba3bbbf404_5529","1147bcd2e8bc16dabca75e70b6a67ef2_7355"
"GO600_09400","","HAMP domain-containing histidine kinase","2","2","1","1","1355","1","1687","","1250","1250","1250","","1a7f36f5a39ec6a4fe158fba3bbbf404_5533","1147bcd2e8bc16dabca75e70b6a67ef2_7351"
"KNN15_07055","","response regulator transcription factor","2","2","1","1","1356","1","1688","","683","683","683","","1a7f36f5a39ec6a4fe158fba3bbbf404_5537","1147bcd2e8bc16dabca75e70b6a67ef2_7347"
"KNN15_07060","","hypothetical protein","2","2","1","1","1357","1","1689","","362","362","362","","1a7f36f5a39ec6a4fe158fba3bbbf404_5541","1147bcd2e8bc16dabca75e70b6a67ef2_7343"
"GO600_09385","","DUF502 domain-containing protein","2","2","1","1","1358","1","1690","","647","647","647","","1a7f36f5a39ec6a4fe158fba3bbbf404_5545","1147bcd2e8bc16dabca75e70b6a67ef2_7339"
"GO600_09380","","helix-turn-helix domain-containing protein","2","2","1","1","1359","1","1691","","608","608","608","","1a7f36f5a39ec6a4fe158fba3bbbf404_5549","1147bcd2e8bc16dabca75e70b6a67ef2_7335"
"KNN15_07075","","hypothetical protein","2","2","1","1","1360","1","1692","","230","230","230","","1a7f36f5a39ec6a4fe158fba3bbbf404_5553","1147bcd2e8bc16dabca75e70b6a67ef2_7331"
"GO600_09350","","divalent-cation tolerance protein CutA","2","2","1","1","1364","1","1696","","311","311","311","","1a7f36f5a39ec6a4fe158fba3bbbf404_5561","1147bcd2e8bc16dabca75e70b6a67ef2_7313"
"GO600_05295","","DUF814 domain-containing protein","2","2","1","1","2143","1","1003","","1550","1550","1550","","1a7f36f5a39ec6a4fe158fba3bbbf404_9277","1147bcd2e8bc16dabca75e70b6a67ef2_4130"
"gyrA","","DNA gyrase subunit A","2","2","1","1","1365","1","1697","","2420","2420","2420","","1a7f36f5a39ec6a4fe158fba3bbbf404_5565","1147bcd2e8bc16dabca75e70b6a67ef2_7309"
"aroQ","","type II 3-dehydroquinate dehydratase","2","2","1","1","1366","1","1698","","443","443","443","","1a7f36f5a39ec6a4fe158fba3bbbf404_5569","1147bcd2e8bc16dabca75e70b6a67ef2_7305"
"KNN15_07100","","methyltransferase domain-containing protein","2","2","1","1","1367","1","1699","","1223","1223","1223","","1a7f36f5a39ec6a4fe158fba3bbbf404_5573","1147bcd2e8bc16dabca75e70b6a67ef2_7301"
"GO600_09330","","response regulator","2","2","1","1","1368","1","1700","","653","653","653","","1a7f36f5a39ec6a4fe158fba3bbbf404_5577","1147bcd2e8bc16dabca75e70b6a67ef2_7297"
"KNN15_07110","","M20/M25/M40 family metallo-hydrolase","2","2","1","1","1369","1","1701","","992","992","992","","1a7f36f5a39ec6a4fe158fba3bbbf404_5581","1147bcd2e8bc16dabca75e70b6a67ef2_7293"
"GO600_09275","","ATP-binding cassette domain-containing protein","2","2","1","1","1379","1","1711","","1826","1826","1826","","1a7f36f5a39ec6a4fe158fba3bbbf404_5593","1147bcd2e8bc16dabca75e70b6a67ef2_7252"
"GO600_05290","","aspartate 1-decarboxylase","2","2","1","1","2144","1","1002","","350","350","350","","1a7f36f5a39ec6a4fe158fba3bbbf404_9281","1147bcd2e8bc16dabca75e70b6a67ef2_4126"
"GO600_09245","","ABC transporter ATP-binding protein","2","2","1","1","1385","1","1717","","713","713","713","","1a7f36f5a39ec6a4fe158fba3bbbf404_5617","1147bcd2e8bc16dabca75e70b6a67ef2_7228"
"KNN15_07160","","ABC transporter ATP-binding protein","2","2","1","1","1386","1","1718","","779","779","779","","1a7f36f5a39ec6a4fe158fba3bbbf404_5621","1147bcd2e8bc16dabca75e70b6a67ef2_7224"
"GO600_09235","","branched-chain amino acid ABC transporter permease","2","2","1","1","1387","1","1719","","1328","1355","1341","","1a7f36f5a39ec6a4fe158fba3bbbf404_5625","1147bcd2e8bc16dabca75e70b6a67ef2_7220"
"KNN15_07170","","branched-chain amino acid ABC transporter permease","2","2","1","1","1388","1","1720","","968","968","968","","1a7f36f5a39ec6a4fe158fba3bbbf404_5629","1147bcd2e8bc16dabca75e70b6a67ef2_7216"
"purU","","formyltetrahydrofolate deformylase","2","2","1","1","1397","1","1729","","857","857","857","","1a7f36f5a39ec6a4fe158fba3bbbf404_5669","1147bcd2e8bc16dabca75e70b6a67ef2_7178"
"ubiA","","putative 4-hydroxybenzoate polyprenyltransferase","2","2","1","1","2145","1","1001","","851","851","851","","1a7f36f5a39ec6a4fe158fba3bbbf404_9285","1147bcd2e8bc16dabca75e70b6a67ef2_4122"
"GO600_09140","","UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)","2","2","1","1","1405","1","1737","","1118","1118","1118","","1a7f36f5a39ec6a4fe158fba3bbbf404_5701","1147bcd2e8bc16dabca75e70b6a67ef2_7146"
"KNN15_07265","","undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase","2","2","1","1","1407","1","1739","","1088","1088","1088","","1a7f36f5a39ec6a4fe158fba3bbbf404_5705","1147bcd2e8bc16dabca75e70b6a67ef2_7138"
"GO600_09120","","aminoglycoside phosphotransferase family protein","2","2","1","1","1409","1","1741","","851","851","851","","1a7f36f5a39ec6a4fe158fba3bbbf404_5713","1147bcd2e8bc16dabca75e70b6a67ef2_7130"
"hemW","","radical SAM family heme chaperone HemW","2","2","1","1","1412","1","1744","","1103","1121","1112","","1a7f36f5a39ec6a4fe158fba3bbbf404_5729","1147bcd2e8bc16dabca75e70b6a67ef2_7118"
"KNN15_07300","","HEPN domain-containing protein","2","2","1","1","1413","1","1745","","392","392","392","","1a7f36f5a39ec6a4fe158fba3bbbf404_5733","1147bcd2e8bc16dabca75e70b6a67ef2_7112"
"KNN15_07305","","nucleotidyltransferase domain-containing protein","2","2","1","1","1414","1","1746","","317","317","317","","1a7f36f5a39ec6a4fe158fba3bbbf404_5737","1147bcd2e8bc16dabca75e70b6a67ef2_7108"
"KNN15_07310","","glycerate kinase","2","2","1","1","1415","1","1747","","1220","1220","1220","","1a7f36f5a39ec6a4fe158fba3bbbf404_5741","1147bcd2e8bc16dabca75e70b6a67ef2_7104"
"GO600_05275","","hypothetical protein","2","2","1","1","2147","1","999","","662","662","662","","1a7f36f5a39ec6a4fe158fba3bbbf404_9293","1147bcd2e8bc16dabca75e70b6a67ef2_4114"
"glcF","","glycolate oxidase subunit GlcF","2","2","1","1","1416","1","1748","","1268","1268","1268","","1a7f36f5a39ec6a4fe158fba3bbbf404_5745","1147bcd2e8bc16dabca75e70b6a67ef2_7100"
"GO600_09075","","FAD-binding protein","2","2","1","1","1417","1","1749","","1046","1046","1046","","1a7f36f5a39ec6a4fe158fba3bbbf404_5749","1147bcd2e8bc16dabca75e70b6a67ef2_7096"
"KNN15_07325","","FAD-binding protein","2","2","1","1","1418","1","1750","","1403","1403","1403","","1a7f36f5a39ec6a4fe158fba3bbbf404_5753","1147bcd2e8bc16dabca75e70b6a67ef2_7092"
"aceB","","malate synthase A","2","2","1","1","1419","1","1751","","1562","1562","1562","","1a7f36f5a39ec6a4fe158fba3bbbf404_5757","1147bcd2e8bc16dabca75e70b6a67ef2_7088"
"GO600_09055","","helix-turn-helix transcriptional regulator","2","2","1","1","1421","1","1753","","710","710","710","","1a7f36f5a39ec6a4fe158fba3bbbf404_5765","1147bcd2e8bc16dabca75e70b6a67ef2_7080"
"GO600_09050","","dipeptidase","2","2","1","1","1422","1","1754","","1313","1313","1313","","1a7f36f5a39ec6a4fe158fba3bbbf404_5769","1147bcd2e8bc16dabca75e70b6a67ef2_7076"
