"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000597845.1","GCA_000599625.1","GCA_000599645.1","GCA_000599665.1","GCA_000599685.1","GCA_000599705.1","GCA_000784925.1","GCA_000801165.1","GCA_000801185.2","GCA_000814145.2"
"CF61_22405","","gene expression modulator","10","10","1","1","3865","1","1351","","218","218","218","BU34_05300.p01","CF57_21720.p01","CF61_22405.p01","CF58_06925.p01","CF59_06975.p01","CF60_06965.p01","ECONIH1_02490.p01","HW42_06005.p01","HW43_05925.p01","RR31_02665.p01"
"CF61_04905","","membrane protein","10","10","1","1","707","1","2739","","365","365","365","BU34_12915.p01","CF57_04130.p01","CF61_04905.p01","CF58_25705.p01","CF59_25690.p01","CF60_25240.p01","ECONIH1_18430.p01","HW42_20370.p01","HW43_20455.p01","RR31_16300.p01"
"recA","","recombinase A","10","10","1","1","1122","1","3154","","1061","1061","1061","BU34_15545.p01","CF57_06870.p01","CF61_07570.p01","CF58_22780.p01","CF59_22770.p01","CF60_22445.p01","ECONIH1_15480.p01","HW42_18090.p01","HW43_17740.p01","RR31_14240.p01"
"BU34_11685","","30S ribosomal protein S13","10","10","1","1","519","1","2551","","356","356","356","BU34_11685.p01","CF57_02890.p01","CF61_03650.p01","CF58_26885.p01","CF59_26870.p01","CF60_26500.p01","ECONIH1_19415.p01","HW42_21315.p01","HW43_21425.p01","RR31_17270.p01"
"CF60_14555","","glutamate decarboxylase","10","10","1","1","2305","1","4337","","1400","1400","1400","BU34_26270.p01","CF57_14760.p01","CF61_15495.p01","CF58_14865.p01","CF59_14830.p01","CF60_14555.p01","ECONIH1_08640.p01","HW42_11790.p01","HW43_11410.p01","RR31_07790.p01"
"group_6476","tuf","elongation factor Tu","10","10","1","1","2792","1","278","","1184","1184","1184","BU34_17975.p01","CF57_29000.p01","CF61_29695.p01","CF58_01010.p01","CF59_01035.p01","CF60_01035.p01","ECONIH1_23430.p01","HW42_01440.p01","HW43_01545.p01","RR31_20840.p01"
"BU34_11630","","50S ribosomal protein L5","10","10","1","1","509","1","2541","","539","539","539","BU34_11630.p01","CF57_02835.p01","CF61_03595.p01","CF58_26945.p01","CF59_26930.p01","CF60_26560.p01","ECONIH1_19465.p01","HW42_21365.p01","HW43_21475.p01","RR31_17320.p01"
"CF60_26665","","30S ribosomal protein S7","10","10","1","1","474","1","2506","","470","470","470","BU34_11435.p01","CF57_02640.p01","CF61_03400.p01","CF58_27045.p01","CF59_27030.p01","CF60_26665.p01","ECONIH1_19565.p01","HW42_21460.p01","HW43_21570.p01","RR31_17485.p01"
"CF60_21830","","50S ribosomal protein L19","10","10","1","1","1185","1","3217","","347","347","347","BU34_29680.p01","CF57_07300.p01","CF61_08000.p01","CF58_22205.p01","CF59_22170.p01","CF60_21830.p01","ECONIH1_15175.p01","HW42_17770.p01","HW43_17430.p01","RR31_13910.p01"
"CF60_24150","","oxidative damage protection protein","10","10","1","1","869","1","2901","","275","275","275","BU34_13890.p01","CF57_05105.p01","CF61_05910.p01","CF58_24600.p01","CF59_24585.p01","CF60_24150.p01","ECONIH1_17065.p01","HW42_19600.p01","HW43_19315.p01","RR31_15635.p01"
"rbfA","","ribosome-binding factor A","10","10","1","1","647","1","2679","","401","401","401","BU34_12495.p01","CF57_03710.p01","CF61_04485.p01","CF58_26085.p01","CF59_26070.p01","CF60_25615.p01","ECONIH1_18735.p01","HW42_20685.p01","HW43_20795.p01","RR31_16620.p01"
"CF59_10560","","Crp/Fnr family transcriptional regulator","10","10","1","1","4396","1","1882","","629","629","629","BU34_01720.p01","CF57_18125.p01","CF61_18850.p01","CF58_10515.p01","CF59_10560.p01","CF60_10705.p01","ECONIH1_06055.p01","HW42_08635.p01","HW43_08520.p01","RR31_05210.p01"
"RR31_05270","","membrane protein","10","10","1","1","4407","1","1893","","659","659","659","BU34_01650.p01","CF57_18055.p01","CF61_18780.p01","CF58_10580.p01","CF59_10625.p01","CF60_10770.p01","ECONIH1_06115.p01","HW42_08690.p01","HW43_08575.p01","RR31_05270.p01"
"trkA","","potassium transporter peripheral membrane component","10","10","1","1","528","1","2560","","1376","1376","1376","BU34_11730.p01","CF57_02935.p01","CF61_03695.p01","CF58_26840.p01","CF59_26825.p01","CF60_26455.p01","ECONIH1_19370.p01","HW42_21270.p01","HW43_21380.p01","RR31_17225.p01"
"CF60_26000","","50S ribosomal protein L13","10","10","1","1","587","1","2619","","428","428","428","BU34_12095.p01","CF57_03310.p01","CF61_04085.p01","CF58_26470.p01","CF59_26455.p01","CF60_26000.p01","ECONIH1_19025.p01","HW42_20980.p01","HW43_21090.p01","RR31_16935.p01"
"CF58_14510","","hypothetical protein","10","10","1","1","2354","1","4386","","233","233","233","BU34_26630.p01","CF57_15110.p01","CF61_15845.p01","CF58_14510.p01","CF59_14475.p01","CF60_14210.p01","ECONIH1_08405.p01","HW42_11555.p01","HW43_11140.p01","RR31_07555.p01"
"RR31_04080","","peptidoglycan-associated outer membrane lipoprotein","10","10","1","1","4115","1","1601","","521","521","521","BU34_03555.p01","CF57_19970.p01","CF61_20660.p01","CF58_09085.p01","CF59_09155.p01","CF60_09220.p01","ECONIH1_04250.p01","HW42_07520.p01","HW43_07405.p01","RR31_04080.p01"
"RR31_22460","","hypothetical protein","10","10","1","1","3059","1","545","","551","551","551","BU34_16140.p01","CF57_27160.p01","CF61_27860.p01","CF58_02790.p01","CF59_02840.p01","CF60_02830.p01","ECONIH1_25140.p01","HW42_02850.p01","HW43_02885.p01","RR31_22460.p01"
"CF61_03640","","50S ribosomal protein L36","10","10","1","1","518","1","2550","","116","116","116","BU34_11675.p01","CF57_02880.p01","CF61_03640.p01","CF58_26900.p01","CF59_26885.p01","CF60_26515.p01","ECONIH1_19420.p01","HW42_21320.p01","HW43_21430.p01","RR31_17275.p01"
"BU34_25575","","multidrug transporter","10","10","1","1","2210","1","4242","","329","329","329","BU34_25575.p01","CF57_14055.p01","CF61_14780.p01","CF58_15380.p01","CF59_15345.p01","CF60_15070.p01","ECONIH1_09330.p01","HW42_12195.p01","HW43_11805.p01","RR31_08520.p01"
"CF57_21935","","nucleotide-binding protein","10","10","1","1","3831","1","1317","","491","491","491","BU34_05515.p01","CF57_21935.p01","CF61_22620.p01","CF58_06710.p01","CF59_06760.p01","CF60_06750.p01","ECONIH1_02315.p01","HW42_05830.p01","HW43_05740.p01","RR31_02495.p01"
"CF61_24645","","hypothetical protein","10","10","1","1","3524","1","1010","","623","623","623","BU34_07565.p01","CF57_23975.p01","CF61_24645.p01","CF58_04990.p01","CF59_05040.p01","CF60_05030.p01","ECONIH1_00835.p01","HW42_04385.p01","HW43_04550.p01","RR31_00815.p01"
"CF60_26670","","30S ribosomal protein S12","10","10","1","1","473","1","2505","","374","374","374","BU34_11430.p01","CF57_02635.p01","CF61_03395.p01","CF58_27050.p01","CF59_27035.p01","CF60_26670.p01","ECONIH1_19570.p01","HW42_21465.p01","HW43_21575.p01","RR31_17490.p01"
"HW42_01990","","formate dehydrogenase","10","10","1","1","2893","1","379","","1679","1679","1679","BU34_17235.p01","CF57_28255.p01","CF61_28955.p01","CF58_01755.p01","CF59_01805.p01","CF60_01790.p01","ECONIH1_24340.p01","HW42_01990.p01","HW43_02070.p01","RR31_21625.p01"
"ECONIH1_09930","","50S ribosomal protein L35","10","10","1","1","2088","1","4120","","197","197","197","BU34_24820.p01","CF57_13300.p01","CF61_14025.p01","CF58_16110.p01","CF59_16075.p01","CF60_15840.p01","ECONIH1_09930.p01","HW42_12795.p01","HW43_12405.p01","RR31_09135.p01"
"BU34_27840","","UTP--glucose-1-phosphate uridylyltransferase","10","10","1","1","4661","1","4564","","908","908","908","BU34_27840.p01","CF57_16325.p01","CF61_17060.p01","CF58_12215.p01","CF59_12270.p01","CF60_12360.p01","ECONIH1_07540.p01","HW42_10295.p01","HW43_09895.p01","RR31_06565.p01"
"rpoB","","DNA-directed RNA polymerase subunit beta","10","10","1","1","2799","1","285","","4028","4028","4028","BU34_17930.p01","CF57_28955.p01","CF61_29650.p01","CF58_01055.p01","CF59_01080.p01","CF60_01080.p01","ECONIH1_23465.p01","HW42_01475.p01","HW43_01580.p01","RR31_20875.p01"
"HW42_12905","","PTS system N,N'-diacetylchitobiose-specific transporter subunit IIC","10","10","1","1","2065","1","4097","","1358","1358","1358","BU34_24675.p01","CF57_13155.p01","CF61_13880.p01","CF58_16225.p01","CF59_16190.p01","CF60_15965.p01","ECONIH1_10030.p01","HW42_12905.p01","HW43_12510.p01","RR31_09235.p01"
"HW42_04865","","ribonuclease H","10","10","1","1","3576","1","1062","","467","467","467","BU34_07230.p01","CF57_23650.p01","CF61_24340.p01","CF58_05305.p01","CF59_05355.p01","CF60_05345.p01","ECONIH1_01120.p01","HW42_04865.p01","HW43_04835.p01","RR31_01100.p01"
"CF61_01295","","glycosyl transferase","10","10","1","1","160","1","2192","","1034","1034","1034","BU34_29450.p01","CF57_00550.p01","CF61_01295.p01","CF58_29050.p01","CF59_29030.p01","CF60_28680.p01","ECONIH1_21115.p01","HW42_22930.p01","HW43_22995.p01","RR31_18960.p01"
"CF58_08415","","hypothetical protein","10","10","1","1","4011","1","1497","","263","263","263","BU34_04325.p01","CF57_20740.p01","CF61_21430.p01","CF58_08415.p01","CF59_08495.p01","CF60_08530.p01","ECONIH1_03605.p01","HW42_07005.p01","HW43_06875.p01","RR31_03495.p01"
"trxA","","thioredoxin","10","10","1","1","2592","1","78","","329","329","329","BU34_30210.p01","CF57_30390.p01","CF61_31085.p01","CF58_30195.p01","CF59_30175.p01","CF60_29825.p01","ECONIH1_22215.p01","HW42_00400.p01","HW43_00405.p01","RR31_19810.p01"
"RR31_03535","","nicotinate-nucleotide adenylyltransferase","10","10","1","1","4019","1","1505","","641","641","641","BU34_04270.p01","CF57_20685.p01","CF61_21375.p01","CF58_08470.p01","CF59_08550.p01","CF60_08585.p01","ECONIH1_03645.p01","HW42_07045.p01","HW43_06915.p01","RR31_03535.p01"
"rfaH","","transcriptional regulator","10","10","1","1","2652","1","138","","488","488","488","BU34_29835.p01","CF57_30015.p01","CF61_30710.p01","CF58_30590.p01","CF59_30575.p01","CF60_30245.p01","ECONIH1_22625.p01","HW42_00700.p01","HW43_00730.p01","RR31_20115.p01"
"BU34_11905","","tRNA-dihydrouridine synthase B","10","10","1","1","559","1","2591","","965","965","965","BU34_11905.p01","CF57_03120.p01","CF61_03895.p01","CF58_26660.p01","CF59_26645.p01","CF60_26190.p01","ECONIH1_19220.p01","HW42_21115.p01","HW43_21225.p01","RR31_17090.p01"
"HW43_02510","","oligoribonuclease","10","10","1","1","2984","1","470","","545","545","545","BU34_16605.p01","CF57_27625.p01","CF61_28325.p01","CF58_02350.p01","CF59_02400.p01","CF60_02385.p01","ECONIH1_24780.p01","HW42_02460.p01","HW43_02510.p01","RR31_22075.p01"
"CF61_04555","","hypothetical protein","10","10","1","1","657","1","2689","","524","524","524","BU34_12565.p01","CF57_03780.p01","CF61_04555.p01","CF58_26015.p01","CF59_26000.p01","CF60_25545.p01","ECONIH1_18680.p01","HW42_20635.p01","HW43_20555.p01","RR31_16565.p01"
"CF57_20555","","metal-binding heat shock protein","10","10","1","1","4041","1","1527","","467","467","467","BU34_04140.p01","CF57_20555.p01","CF61_21245.p01","CF58_08540.p01","CF59_08620.p01","CF60_08655.p01","ECONIH1_03745.p01","HW42_07145.p01","HW43_07015.p01","RR31_03630.p01"
"CF57_18305","","asparaginyl-tRNA synthetase","10","10","1","1","4367","1","1853","","1400","1400","1400","BU34_01900.p01","CF57_18305.p01","CF61_19030.p01","CF58_10350.p01","CF59_10395.p01","CF60_10560.p01","ECONIH1_05905.p01","HW42_08490.p01","HW43_08375.p01","RR31_05060.p01"
"CF61_27700","","DNA polymerase III subunit chi","10","10","1","1","3082","1","568","","443","443","443","BU34_15980.p01","CF57_27000.p01","CF61_27700.p01","CF58_02965.p01","CF59_03015.p01","CF60_03010.p01","ECONIH1_25260.p01","HW42_02970.p01","HW43_03005.p01","RR31_22580.p01"
"CF59_29060","","ADP-heptose--LPS heptosyltransferase","10","10","1","1","155","1","2187","","959","992","970","BU34_29480.p01","CF57_00520.p01","CF61_01265.p01","CF58_29080.p01","CF59_29060.p01","CF60_28710.p01","ECONIH1_21140.p01","HW42_22955.p01","HW43_23025.p01","RR31_18990.p01"
"CF57_25010","","TorR family transcriptional regulator","10","10","1","1","3362","1","848","","716","716","716","BU34_08610.p01","CF57_25010.p01","CF61_25680.p01","CF58_03940.p01","CF59_03990.p01","CF60_03985.p01","ECONIH1_26370.p01","HW42_03620.p01","HW43_03665.p01","RR31_23555.p01"
"rpsT","","30S ribosomal protein S20","10","10","1","1","3388","1","874","","263","263","263","BU34_08400.p01","CF57_24810.p01","CF61_25480.p01","CF58_04135.p01","CF59_04185.p01","CF60_04175.p01","ECONIH1_00135.p01","HW42_03730.p01","HW43_03780.p01","RR31_00125.p01"
"nusB","","transcription antiterminator NusB","10","10","1","1","3821","1","1307","","419","419","419","BU34_05580.p01","CF57_22000.p01","CF61_22685.p01","CF58_06640.p01","CF59_06690.p01","CF60_06680.p01","ECONIH1_02265.p01","HW42_05780.p01","HW43_05690.p01","RR31_02445.p01"
"CF59_02995","","RNase E inhibitor protein","10","10","1","1","3078","1","564","","416","416","416","BU34_16000.p01","CF57_27020.p01","CF61_27720.p01","CF58_02945.p01","CF59_02995.p01","CF60_02990.p01","ECONIH1_25240.p01","HW42_02950.p01","HW43_02985.p01","RR31_22560.p01"
"HW42_00195","","ATP F0F1 synthase subunit C","10","10","1","1","2551","1","37","","239","239","239","BU34_30460.p01","CF57_30835.p01","CF61_31355.p01","CF58_29955.p01","CF59_29935.p01","CF60_29575.p01","ECONIH1_22015.p01","HW42_00195.p01","HW43_00200.p01","RR31_19605.p01"
"adk","","adenylate kinase","10","10","1","1","3881","1","1367","","644","644","644","BU34_05210.p01","CF57_21630.p01","CF61_22315.p01","CF58_07010.p01","CF59_07060.p01","CF60_07050.p01","ECONIH1_02560.p01","HW42_06075.p01","HW43_05995.p01","RR31_02740.p01"
"ECONIH1_06750","","PTS glucose-specific subunit IIBC","10","10","1","1","4541","1","2027","","1433","1433","1433","BU34_00740.p01","CF57_17140.p01","CF61_17875.p01","CF58_11370.p01","CF59_11415.p01","CF60_11545.p01","ECONIH1_06750.p01","HW42_09725.p01","HW43_09210.p01","RR31_05955.p01"
"ECONIH1_20660","","peptide transporter","10","10","1","1","250","1","2282","","902","902","902","BU34_28850.p01","CF57_01170.p01","CF61_01915.p01","CF58_28520.p01","CF59_28500.p01","CF60_28115.p01","ECONIH1_20660.p01","HW42_22490.p01","HW43_22575.p01","RR31_18535.p01"
"CF61_08515","","scaffolding protein","10","10","1","1","1259","1","3291","","386","386","386","BU34_22245.p01","CF57_07830.p01","CF61_08515.p01","CF58_21680.p01","CF59_21655.p01","CF60_21320.p01","ECONIH1_14760.p01","HW42_17385.p01","HW43_17045.p01","RR31_13495.p01"
"CF58_16230","","PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB","10","10","1","1","2064","1","4096","","320","320","320","BU34_24670.p01","CF57_13150.p01","CF61_13875.p01","CF58_16230.p01","CF59_16195.p01","CF60_15970.p01","ECONIH1_10035.p01","HW42_12910.p01","HW43_12515.p01","RR31_09240.p01"
"CF59_22110","","hypothetical protein","10","10","1","1","1197","1","3229","","731","731","731","BU34_29740.p01","CF57_07360.p01","CF61_08060.p01","CF58_22145.p01","CF59_22110.p01","CF60_21770.p01","ECONIH1_15110.p01","HW42_17715.p01","HW43_17375.p01","RR31_13850.p01"
"BU34_21330","","LytTR family transcriptional regulator","10","10","1","1","1399","1","3431","","734","734","734","BU34_21330.p01","CF57_08730.p01","CF61_09440.p01","CF58_20765.p01","CF59_20740.p01","CF60_20410.p01","ECONIH1_13735.p01","HW42_16655.p01","HW43_16325.p01","RR31_12675.p01"
"CF59_25195","","esterase","10","10","1","1","785","1","2817","","581","581","581","BU34_13415.p01","CF57_04630.p01","CF61_05405.p01","CF58_25210.p01","CF59_25195.p01","CF60_24745.p01","ECONIH1_18045.p01","HW42_20000.p01","HW43_20085.p01","RR31_15925.p01"
"HW43_05510","","membrane protein","10","10","1","1","3782","1","1268","","308","308","308","BU34_05845.p01","CF57_22265.p01","CF61_22950.p01","CF58_06345.p01","CF59_06395.p01","CF60_06385.p01","ECONIH1_02070.p01","HW42_05595.p01","HW43_05510.p01","RR31_02250.p01"
"CF59_07040","","hypothetical protein","10","10","1","1","3877","1","1363","","329","329","329","BU34_05230.p01","CF57_21650.p01","CF61_22335.p01","CF58_06990.p01","CF59_07040.p01","CF60_07030.p01","ECONIH1_02545.p01","HW42_06060.p01","HW43_05980.p01","RR31_02725.p01"
"ECONIH1_23145","","transcriptional regulator","10","10","1","1","2744","1","230","","1025","1025","1025","BU34_18345.p01","CF57_29365.p01","CF61_30060.p01","CF58_00600.p01","CF59_00610.p01","CF60_00610.p01","ECONIH1_23145.p01","HW42_01205.p01","HW43_01290.p01","RR31_20600.p01"
"rpmA","","50S ribosomal protein L27","10","10","1","1","630","1","2662","","257","257","257","BU34_12365.p01","CF57_03580.p01","CF61_04355.p01","CF58_26210.p01","CF59_26195.p01","CF60_25740.p01","ECONIH1_18825.p01","HW42_20775.p01","HW43_20885.p01","RR31_16710.p01"
"dnaG","","DNA primase","10","10","1","1","750","1","2782","","1745","1745","1745","BU34_13210.p01","CF57_04425.p01","CF61_05200.p01","CF58_25435.p01","CF59_25420.p01","CF60_24970.p01","ECONIH1_18220.p01","HW42_20165.p01","HW43_20255.p01","RR31_16110.p01"
"CF59_26975","","50S ribosomal protein L2","10","10","1","1","500","1","2532","","821","821","821","BU34_11585.p01","CF57_02790.p01","CF61_03550.p01","CF58_26990.p01","CF59_26975.p01","CF60_26605.p01","ECONIH1_19510.p01","HW42_21410.p01","HW43_21520.p01","RR31_17365.p01"
"BU34_23525","","ferritin","10","10","1","1","1887","1","3919","","503","503","503","BU34_23525.p01","CF57_12005.p01","CF61_12735.p01","CF58_17315.p01","CF59_17270.p01","CF60_17050.p01","ECONIH1_10900.p01","HW42_13765.p01","HW43_13405.p01","RR31_10100.p01"
"CF59_26545","","ribonuclease G","10","10","1","1","572","1","2604","","1469","1469","1469","BU34_12005.p01","CF57_03220.p01","CF61_03995.p01","CF58_26560.p01","CF59_26545.p01","CF60_26090.p01","ECONIH1_19100.p01","HW42_21055.p01","HW43_21165.p01","RR31_17010.p01"
"CF61_30770","","carboxymethylenebutenolidase","10","10","1","1","2642","1","128","","809","815","813","BU34_29895.p01","CF57_30075.p01","CF61_30770.p01","CF58_30530.p01","CF59_30510.p01","CF60_30180.p01","ECONIH1_22545.p01","HW42_00650.p01","HW43_00680.p01","RR31_20065.p01"
"CF59_02335","","multidrug transporter","10","10","1","1","2970","1","456","","317","317","317","BU34_16680.p01","CF57_27700.p01","CF61_28400.p01","CF58_02285.p01","CF59_02335.p01","CF60_02320.p01","ECONIH1_24720.p01","HW42_02400.p01","HW43_02450.p01","RR31_22005.p01"
"HW43_16920","","membrane protein","10","10","1","1","1285","1","3317","","191","191","191","BU34_22090.p01","CF57_07985.p01","CF61_08670.p01","CF58_21500.p01","CF59_21475.p01","CF60_21140.p01","ECONIH1_14345.p01","HW42_17260.p01","HW43_16920.p01","RR31_13270.p01"
"ECONIH1_02175","","transcriptional regulator PhoB","10","10","1","1","3804","1","1290","","689","689","689","BU34_05685.p01","CF57_22105.p01","CF61_22790.p01","CF58_06500.p01","CF59_06550.p01","CF60_06540.p01","ECONIH1_02175.p01","HW42_05695.p01","HW43_05605.p01","RR31_02355.p01"
"HW43_02075","","spermidine/putrescine ABC transporter substrate-binding protein","10","10","1","1","2894","1","380","","419","419","419","BU34_17230.p01","CF57_28250.p01","CF61_28950.p01","CF58_01760.p01","CF59_01810.p01","CF60_01795.p01","ECONIH1_24345.p01","HW42_01995.p01","HW43_02075.p01","RR31_21630.p01"
"ECONIH1_09590","","glyoxalase I","10","10","1","1","2153","1","4185","","407","407","407","BU34_25235.p01","CF57_13715.p01","CF61_14440.p01","CF58_15700.p01","CF59_15665.p01","CF60_15430.p01","ECONIH1_09590.p01","HW42_12460.p01","HW43_12075.p01","RR31_08790.p01"
"CF58_30290","","tRNA-His","10","10","1","1","2610","1","96","","75","75","75","BU34_30115.r01","CF57_30295.r01","CF61_30990.r01","CF58_30290.r01","CF59_30270.r01","CF60_29920.r01","ECONIH1_22305.r01","HW42_00485.r01","HW43_00490.r01","RR31_19900.r01"
"CF61_24875","","dihydrolipoamide dehydrogenase","10","10","1","1","3483","1","969","","1424","1424","1424","BU34_07795.p01","CF57_24205.p01","CF61_24875.p01","CF58_04750.p01","CF59_04800.p01","CF60_04790.p01","ECONIH1_00625.p01","HW42_04170.p01","HW43_04340.p01","RR31_00605.p01"
"greA","","transcription elongation factor GreA","10","10","1","1","635","1","2667","","476","476","476","BU34_12395.p01","CF57_03610.p01","CF61_04385.p01","CF58_26185.p01","CF59_26170.p01","CF60_25715.p01","ECONIH1_18805.p01","HW42_20755.p01","HW43_20865.p01","RR31_16690.p01"
"CF58_12315","","hypothetical protein","10","10","1","1","4675","1","4550","","296","296","296","BU34_27745.p01","CF57_16230.p01","CF61_16965.p01","CF58_12315.p01","CF59_12370.p01","CF60_12455.p01","ECONIH1_07615.p01","HW42_10370.p01","HW43_09960.p01","RR31_06645.p01"
"hflB","","ATP-dependent metalloprotease","10","10","1","1","638","1","2670","","1934","1934","1934","BU34_12420.p01","CF57_03635.p01","CF61_04410.p01","CF58_26160.p01","CF59_26145.p01","CF60_25690.p01","ECONIH1_18790.p01","HW42_20740.p01","HW43_20850.p01","RR31_16675.p01"
"HW42_00500","","arylsulfatase","10","10","1","1","2613","1","99","","1235","1235","1235","BU34_30100.p01","CF57_30280.p01","CF61_30975.p01","CF58_30305.p01","CF59_30285.p01","CF60_29935.p01","ECONIH1_22320.p01","HW42_00500.p01","HW43_00505.p01","RR31_19915.p01"
"HW42_22290","","membrane protein","10","10","1","1","296","1","2328","","566","566","566","BU34_28545.p01","CF57_01490.p01","CF61_02235.p01","CF58_28190.p01","CF59_28170.p01","CF60_27785.p01","ECONIH1_20400.p01","HW42_22290.p01","HW43_22375.p01","RR31_18330.p01"
"ECONIH1_09725","","murein lipoprotein","10","10","1","1","2128","1","4160","","236","236","236","BU34_25060.p01","CF57_13540.p01","CF61_14265.p01","CF58_15875.p01","CF59_15840.p01","CF60_15605.p01","ECONIH1_09725.p01","HW42_12595.p01","HW43_12210.p01","RR31_08925.p01"
"minE","","cell division topological specificity factor MinE","10","10","1","1","4593","1","4632","","266","266","266","BU34_28270.p01","CF57_16755.p01","CF61_17490.p01","CF58_11765.p01","CF59_11815.p01","CF60_11930.p01","ECONIH1_07035.p01","HW42_09975.p01","HW43_09570.p01","RR31_06230.p01"
"CF59_21690","","inositol monophosphatase","10","10","1","1","1255","1","3287","","803","803","803","BU34_22285.p01","CF57_07790.p01","CF61_08475.p01","CF58_21715.p01","CF59_21690.p01","CF60_21355.p01","ECONIH1_14780.p01","HW42_17405.p01","HW43_17065.p01","RR31_13515.p01"
"BU34_25015","","hypothetical protein","10","10","1","1","2120","1","4152","","188","188","188","BU34_25015.p01","CF57_13495.p01","CF61_14220.p01","CF58_15920.p01","CF59_15885.p01","CF60_15650.p01","ECONIH1_09765.p01","HW42_12635.p01","HW43_12250.p01","RR31_08965.p01"
"HW42_13785","","ferritin","10","10","1","1","1883","1","3915","","497","497","497","BU34_23495.p01","CF57_11975.p01","CF61_12705.p01","CF58_17345.p01","CF59_17300.p01","CF60_17080.p01","ECONIH1_10920.p01","HW42_13785.p01","HW43_13425.p01","RR31_10120.p01"
"CF59_05770","","membrane protein","10","10","1","1","3692","1","1178","","614","614","614","BU34_06455.p01","CF57_22875.p01","CF61_23560.p01","CF58_05720.p01","CF59_05770.p01","CF60_05760.p01","ECONIH1_01700.p01","HW42_05145.p01","HW43_05060.p01","RR31_01820.p01"
"HW42_01160","","fructose 1,6-bisphosphatase","10","10","1","1","2735","1","221","","1010","1010","1010","BU34_18400.p01","CF57_29420.p01","CF61_30115.p01","CF58_00545.p01","CF59_00555.p01","CF60_00555.p01","ECONIH1_23100.p01","HW42_01160.p01","HW43_01245.p01","RR31_20555.p01"
"CF59_20270","","colicin V production protein","10","10","1","1","1519","1","3551","","488","488","488","BU34_20570.p01","CF57_09490.p01","CF61_10200.p01","CF58_20295.p01","CF59_20270.p01","CF60_20010.p01","ECONIH1_13460.p01","HW42_16330.p01","HW43_15800.p01","RR31_12410.p01"
"CF61_24365","","hypothetical protein","10","10","1","1","3571","1","1057","","800","800","800","BU34_07255.p01","CF57_23675.p01","CF61_24365.p01","CF58_05280.p01","CF59_05330.p01","CF60_05320.p01","ECONIH1_01095.p01","HW42_04840.p01","HW43_04810.p01","RR31_01075.p01"
"ECONIH1_22265","","TDP-fucosamine acetyltransferase","10","10","1","1","2602","1","88","","674","674","674","BU34_30160.p01","CF57_30340.p01","CF61_31035.p01","CF58_30245.p01","CF59_30225.p01","CF60_29875.p01","ECONIH1_22265.p01","HW42_00445.p01","HW43_00450.p01","RR31_19860.p01"
"BU34_23420","","amino acid ABC transporter ATP-binding protein","10","10","1","1","1870","1","3902","","752","752","752","BU34_23420.p01","CF57_11900.p01","CF61_12630.p01","CF58_17420.p01","CF59_17375.p01","CF60_17155.p01","ECONIH1_11040.p01","HW42_13845.p01","HW43_13485.p01","RR31_10420.p01"
"mgsA","","methylglyoxal synthase","10","10","1","1","4400","1","1886","","458","458","458","BU34_01700.p01","CF57_18105.p01","CF61_18830.p01","CF58_10535.p01","CF59_10580.p01","CF60_10725.p01","ECONIH1_06075.p01","HW42_08655.p01","HW43_08540.p01","RR31_05230.p01"
"CF57_16185","","hypothetical protein","10","10","1","1","2510","1","4542","","179","179","179","BU34_27700.p01","CF57_16185.p01","CF61_16920.p01","CF58_12360.p01","CF59_12415.p01","CF60_12500.p01","ECONIH1_07655.p01","HW42_10780.p01","HW43_10355.p01","RR31_06685.p01"
"CF58_21595","","ribosomal RNA large subunit methyltransferase N","10","10","1","1","1271","1","3303","","1154","1154","1154","BU34_22170.p01","CF57_07905.p01","CF61_08590.p01","CF58_21595.p01","CF59_21570.p01","CF60_21235.p01","ECONIH1_14700.p01","HW42_17325.p01","HW43_16985.p01","RR31_13435.p01"
"HW43_05000","","xanthine-guanine phosphoribosyltransferase","10","10","1","1","3647","1","1133","","458","458","458","BU34_06770.p01","CF57_23190.p01","CF61_23875.p01","CF58_05590.p01","CF59_05640.p01","CF60_05630.p01","ECONIH1_01360.p01","HW42_04970.p01","HW43_05000.p01","RR31_01345.p01"
"HW42_01750","","maltose/maltodextrin transporter ATP-binding protein","10","10","1","1","2846","1","332","","1115","1115","1115","BU34_17585.p01","CF57_28605.p01","CF61_29305.p01","CF58_01440.p01","CF59_01490.p01","CF60_01475.p01","ECONIH1_23855.p01","HW42_01750.p01","HW43_01845.p01","RR31_21140.p01"
"CF59_01055","","50S ribosomal protein L11","10","10","1","1","2795","1","281","","428","428","428","BU34_17955.p01","CF57_28980.p01","CF61_29675.p01","CF58_01030.p01","CF59_01055.p01","CF60_01055.p01","ECONIH1_23445.p01","HW42_01455.p01","HW43_01560.p01","RR31_20855.p01"
"CF60_08555","","penicillin-binding protein 2","10","10","1","1","4015","1","1501","","1901","1901","1901","BU34_04300.p01","CF57_20715.p01","CF61_21405.p01","CF58_08440.p01","CF59_08520.p01","CF60_08555.p01","ECONIH1_03625.p01","HW42_07025.p01","HW43_06895.p01","RR31_03515.p01"
